ExptDate,AssayID,InsectSpp,Site,PlantID,Replicate,Genotype,Range,InitialWeight,FinalWeight,TotalWeight,PropLeafEaten,PropTotalEaten,WL_own,WL_total,Ratio_Consumed
7/6/16,V001,Velvetbean,MEL,W0429,1,MEL09,Invasive,0.07287,0.0712,0.14615,0.022917524,0.011426616,0,0,0.959489115
7/6/16,V002,Velvetbean,RIV,W0474,1,RIV11,Invasive,0.08314,0.0445,0.12211,0.464758239,0.316436,1,1,1.868314607
7/6/16,V003,Velvetbean,STA,W0258,1,STA05,Invasive,0.08407,0.0672,0.1431,0.200666112,0.117889588,0,0,0.686663561
7/6/16,V004,Velvetbean,,W0327,1,,Invasive,0.06208,0.0562,,,,,,
7/6/16,V005,Velvetbean,DCR,W0822,1,DCR07,Invasive,0.07194,0.0655,0.1369,0.089519044,0.047041636,0,0,0.490321701
7/6/16,V006,Velvetbean,MAG,W0443,1,MAG74,Invasive,0.09726,0.0896,0.12824,0.078757968,0.059731753,1,1,1.005603413
7/6/16,V007,Velvetbean,ARC,W0238,1,ARC08,Invasive,0.09335,0.085,0.17625,0.089448313,0.047375887,1,1,1.009475626
7/6/16,V008,Velvetbean,BHI,W0266,1,BHI33-06,Invasive,0.04378,0.0369,0.08102,0.157149383,0.084917304,1,1,1.186449864
7/6/16,V009,Velvetbean,MLR,W0809,1,MLR07,Invasive,0.05033,0.0153,0.09983,0.696006358,0.350896524,0,0,0.378795801
7/6/16,V010,Velvetbean,ARC,W0454,1,ARC05-01,Invasive,0.05672,0.0151,0.13826,0.733779972,0.30102705,1,0,1.428072518
7/6/16,V011,Velvetbean,MEL,W0241,1,MEL11,Invasive,0.04373,0.0063,0.11071,0.855934141,0.338090507,1,0,2.632252224
7/6/16,V012,Velvetbean,STA,W0828,1,STA06,Invasive,0.12589,0.087,0.17408,0.308920486,0.223403033,0,1,0.999906262
7/6/16,V013,Velvetbean,PEA,W0270,1,PEA13,Invasive,0.06286,0.0468,0.1646,0.255488387,0.097569866,1,0,1.070674957
