AssayID,InsectSpp,PlantID,Range,Induced,InitialWeight,FinalWeight,TotalWeight,PropLeafEaten,PropTotalEaten,WL_own,WL_total,Ratio_Consumed
V001,Velvetbean,W0429,Invasive,Yes,0.0659,0.0522,0.1184,0.207890744,0.115709459,0,0,0.880656791
V002,Velvetbean,W0454,Invasive,Yes,0.0485,0.0306,0.0441,0.369072165,0.405895692,0,0,0.555767762
V003,Velvetbean,W0280,Invasive,Yes,0.0604,0.0208,0.0431,0.655629139,0.918793503,0,0,0.969397743
V004,Velvetbean,W0470,Invasive,Yes,0.0776,0.0498,0.0992,0.358247423,0.280241935,1,1,1.088779446
V005,Velvetbean,W0244,Invasive,Yes,0.0526,0.0257,0.0458,0.511406844,0.587336245,0,0,0.855270715
V006,Velvetbean,W0361,Invasive,Yes,0.0556,0.0346,0.067,0.377697842,0.313432836,1,1,1.134308058
V007,Velvetbean,W0300,Invasive,Yes,0.0513,0.0065,0.0204,0.873294347,2.196078431,1,0,1.152343245
V008,Velvetbean,W0301,Invasive,Yes,0.0372,0.0112,0.0125,0.698924731,2.08,0,0,0.079372374
V009,Velvetbean,W0303,Invasive,Yes,0.064,0.0581,0.1104,0.0921875,0.053442029,0,0,0.669117485
V010,Velvetbean,W0326,Invasive,Yes,0.1415,0.1225,0.1931,0.134275618,0.098394614,0,0,0.773721101
V011,Velvetbean,W0615,Invasive,Yes,0.0373,0.0171,0.0471,0.54155496,0.428874735,1,0,1.020882941
V012,Velvetbean,W0622,Invasive,Yes,0.0281,0.0237,0.0545,0.15658363,0.080733945,0,0,0.523182571
V013,Velvetbean,W0644,Invasive,Yes,0.0876,0.0701,0.1469,0.199771689,0.119128659,1,0,1.01558318
V014,Velvetbean,W0649,Invasive,Yes,0.0214,0.0175,0.069,0.182242991,0.056521739,0,0,0.903545809
V015,Velvetbean,W0652,Invasive,Yes,0.0759,0.0552,0.0979,0.272727273,0.211440245,1,1,1.02823993
V016,Velvetbean,W0527,Invasive,Yes,0.0567,0.0542,0.0917,0.044091711,0.027262814,0,0,0.865997898
V017,Velvetbean,W0529,Invasive,Yes,0.0388,0.0379,0.0605,0.023195876,0.014876033,0,0,0.479020196
V018,Velvetbean,W0530,Invasive,Yes,0.0344,0.0176,0.0602,0.488372093,0.279069767,1,1,1.476305609
V019,Velvetbean,W0070,Invasive,Yes,0.0324,0.014,0.045,0.567901235,0.408888889,1,0,1.440619621
V020,Velvetbean,W0073,Invasive,Yes,0.1011,0.0803,0.1199,0.205736894,0.173477898,0,0,0.779023973
V001,Velvetbean,W0584,Invasive,No,0.0949,0.0662,0.1184,0.302423604,0.242398649,1,1,1.13551614
V002,Velvetbean,W0348,Invasive,No,0.0385,0.0135,0.0441,0.649350649,0.566893424,1,1,1.799312715
V003,Velvetbean,W0358,Invasive,No,0.0668,0.0223,0.0431,0.666167665,1.032482599,1,1,1.031568319
V004,Velvetbean,W0363,Invasive,No,0.0707,0.0494,0.0992,0.301272984,0.214717742,0,0,0.91845966
V005,Velvetbean,W0351,Invasive,No,0.0481,0.0201,0.0458,0.582120582,0.611353712,1,1,1.169220438
V006,Velvetbean,W0460,Invasive,No,0.0459,0.0324,0.067,0.294117647,0.201492537,0,0,0.881594724
V007,Velvetbean,W0594,Invasive,No,0.0952,0.0139,0.0204,0.853991597,3.985294118,0,1,0.86779699
V008,Velvetbean,W0350,Invasive,No,0.0544,0.0013,0.0125,0.976102941,4.248,1,1,12.59884202
V009,Velvetbean,W0347,Invasive,No,0.0861,0.0523,0.0431,0.666167665,1.032482599,1,1,1.031568319
V010,Velvetbean,W0587,Invasive,No,0.1054,0.0706,0.1931,0.330170778,0.180217504,1,1,1.29245538
V011,Velvetbean,W0581,Invasive,No,0.0641,0.03,0.0471,0.531981279,0.723991507,0,1,0.979544236
V012,Velvetbean,W0562,Invasive,No,0.0698,0.0308,0.0545,0.558739255,0.71559633,1,1,1.911378657
