Unique.ID,AssayID,v.wt.leaf.a,unit,Date,v.wt.leaf.b,unit,Date,Unique.ID,,AssayID,s.wt.leaf.a,unit,Date,s.wt.leaf.b,unit,,date,Unique.ID,AssayID,v.wt.leaf.a.f,unit,v.wt.leaf.b.f,unit,Date,Unique.ID,AssayID,s.wt.leaf.a.f,unit,s.wt.leaf.b.f,unit,Date
W0429,V001,0.07287,g,7/6/16,0.07328,g,7/6/16,W0431,,S001,0.06835,g,7/6/16,0.08567,g,,7/6/16,W0429,V001,0.0712,g,0.0687,g,7/11/16,W0431,S001,0.0638,g,0.0675,g,7/11/16
W0474,V002,0.08314,g,7/6/16,0.03897,g,7/6/16,W0458,,S002,0.06448,g,7/6/16,0.04136,g,,7/6/16,W0474,V002,0.0445,g,0.059,g,7/11/16,W0458,S002,0.0311,g,0.0236,g,7/11/16
W0258,V003,0.08407,g,7/6/16,0.05903,g,7/6/16,W0471,,S003,0.07524,g,7/6/16,0.07194,g,,7/6/16,W0258,V003,0.0672,g,0.0324,g,7/11/16,W0471,S003,0.027,g,0.0692,g,7/11/16
W0327,V004,0.06208,g,7/6/16,0.06378,g,7/6/16,W0256,,S004,0.03893,g,7/6/16,0.05904,g,,7/6/16,W0327,V004,0.0562,g,0.0429,g,7/11/16,W0256,S004,0.0329,g,0.0335,g,7/11/16
W0822,V005,0.07194,g,7/6/16,0.06496,g,7/6/16,W0279,,S005,0.09069,g,7/6/16,0.05521,g,,7/6/16,W0822,V005,0.0655,g,0.029,g,7/11/16,W0279,S005,0.0622,g,0.0313,g,7/11/16
W0443,V006,0.09726,g,7/6/16,0.03098,g,7/6/16,W0444,,S006,0.10077,g,7/6/16,0.03504,g,,7/6/16,W0443,V006,0.0896,g,0.0287,g,7/11/16,W0444,S006,0.0171,g,0.0175,g,7/11/16
W0238,V007,0.09335,g,7/6/16,0.0829,g,7/6/16,W0459,,S007,0.09197,g,7/6/16,0.08811,g,,7/6/16,W0238,V007,0.085,g,0.0762,g,7/11/16,W0459,S007,0.0382,g,0.0277,g,7/11/16
W0266,V008,0.04378,g,7/6/16,0.03724,g,7/6/16,W0472,,S008,0.03931,g,7/6/16,0.06516,g,,7/6/16,W0266,V008,0.0369,g,0.0393,g,7/11/16,W0472,S008,0.051,g,0.0303,g,7/11/16
W0809,V009,0.05033,g,7/6/16,0.0495,g,7/6/16,W0265,,S009,0.07647,g,7/6/16,0.06365,g,,7/6/16,W0809,V009,0.0153,g,0.0057,g,7/11/16,W0265,S009,0.0709,g,0.0608,g,7/11/16
W0454,V010,0.05672,g,7/6/16,0.08154,g,7/6/16,W0453,,S010,0.04999,g,7/6/16,0.07029,g,,7/6/16,W0454,V010,0.0151,g,0.031,g,7/11/16,W0453,S010,0.0173,g,0.0601,g,7/11/16
W0241,V011,0.04373,g,7/6/16,0.06698,g,7/6/16,W0462,,S011,0.03996,g,7/6/16,0.05601,g,,7/6/16,W0241,V011,0.0063,g,0.0254,g,7/11/16,W0462,S011,0.011,g,0.0134,g,7/11/16
W0828,V012,0.12589,g,7/6/16,0.04819,g,7/6/16,W0808,,S012,0.0915,g,7/6/16,0.04513,g,,7/6/16,W0828,V012,0.087,g,0.0333,g,7/11/16,W0808,S012,0.061,g,0.0395,g,7/11/16
W0270,V013,0.06286,g,7/6/16,0.10174,g,7/6/16,W0239,,S013,0.04701,g,7/6/16,0.10492,g,,7/6/16,W0270,V013,0.0468,g,0.0811,g,7/11/16,W0239,S013,0.0137,g,0.0925,g,7/11/16
W0813,V014,0.07211,g,7/6/16,0.1036,g,7/6/16,W0269,,S014,0.04808,g,7/6/16,0.05923,g,,7/6/16,W0813,V014,0.0683,g,0.0927,g,7/11/16,W0269,S014,0.0334,g,0.0089,g,7/11/16
W0832,V015,0.06855,g,7/6/16,0.04852,g,7/6/16,W0814,,S015,0.12626,g,7/6/16,0.0728,g,,7/6/16,W0832,V015,0.06,g,0.041,g,7/11/16,W0814,S015,0.0864,g,0.0653,g,7/11/16
W0463,V016,0.0545,g,7/6/16,0.08333,g,7/6/16,W0455,,S016,0.07295,g,7/6/16,0.0697,g,,7/6/16,W0463,V016,0.047,g,0.0729,g,7/11/16,W0455,S016,0.0263,g,0.0181,g,7/11/16
W0244,V017,0.04435,g,7/6/16,0.05262,g,7/6/16,W0464,,S017,0.03446,g,7/6/16,0.03496,g,,7/6/16,W0244,V017,0.0442,g,0.0487,g,7/11/16,W0464,S017,0.0076,g,0.0076,g,7/11/16
W0280,V018,0.05239,g,7/6/16,0.0252,g,7/6/16,W0245,,S018,0.0622,g,7/6/16,0.03021,g,,7/6/16,W0280,V018,0.0088,g,0.0239,g,7/11/16,W0245,S018,0.0145,g,0.0082,g,7/11/16
W0470,V019,0.12126,g,7/6/16,0.11707,g,7/6/16,W0456,,S019,0.11991,g,7/6/16,0.09573,g,,7/6/16,W0470,V019,0.1123,g,0.1124,g,7/11/16,W0456,S019,0.1079,g,0.053,g,7/11/16
