"Assay_No","AssayID","HerbWtID","Range","PlantID_1","Treatment_1","LfWt1_Initial","PlantID_2","Treatment_2","LfWt2_Initial","Date_Initial","LfWt1_Final","LfWt2_Final","Date_Final","Herbivore","DateHerb_Final","HerbWt_Final","AmtPlant1Consumed","AmtPlant2Consumed","CatStage","Con_1_Ind_0","Genotype_Plant1","Population_Plant1","Genotype_Plant2","Population_Plant2"
4,"N-S020","W0049-W0088-SL","Native","W0049","Non-Induced",0.0264,"W0088","Induced",0.0327,"7/15/2016",0.0215,0.0185,"7/20/2016","Soybean Looper","10/31/16",0.01686,0.0049,0.0142,"D",0,"CAM16","CAM","CAM18","CAM"
3,"N-V020","W0049-W0088-VC","Native","W0049","Non-Induced",0.282,"W0088","Induced",0.0315,"7/15/2016",0.0201,0.0264,"7/20/2016","Velvetbean Caterpillar","10/31/16",0.02348,0.2619,0.0051,"D",1,"CAM16","CAM","CAM18","CAM"
2,"I-S019","W0070-W0506-SL","Invaded","W0070","Non-Induced",0.0346,"W0506","Induced",0.0529,"7/15/2016",0.0294,0.0472,"7/20/2016","Soybean Looper","10/31/16",0.02285,0.0052,0.0057,"D",0,"PEA23","PEA","PEA24","PEA"
1,"I-V019","W0070-W0506-VC","Invaded","W0070","Non-Induced",0.0324,"W0506","Induced",0.0498,"7/15/2016",0.014,0.031,"7/20/2016","Velvetbean Caterpillar","10/31/16",0.01315,0.0184,0.0188,"D",0,"PEA23","PEA","PEA24","PEA"
2,"I-S020","W0073-W0511-SL","Invaded","W0073","Non-Induced",0.0526,"W0511","Induced",0.0658,"7/15/2016",0.0489,0.0553,"7/20/2016","Soybean Looper","10/31/16",0.01424,0.0037,0.0105,"D",0,"SDS2-05","SDS","MEL24","MEL"
1,"I-V020","W0073-W0511-VC","Invaded","W0073","Non-Induced",0.1011,"W0511","Induced",0.064,"7/15/2016",0.0803,0.0396,"7/20/2016","Velvetbean Caterpillar","10/31/16",0.02056,0.0208,0.0244,"D",0,"SDS2-05","SDS","MEL24","MEL"
2,"I-S005","W0244-W0351-SL","Invaded","W0244","Non-Induced",0.0557,"W0351","Induced",0.0312,"7/7/2016",0.053,0.0143,"7/11/2016","Soybean Looper","11/3/16",0.00803,0.0027,0.0169,"A",0,"EMO06","EMO","EMO09","EMO"
1,"I-V005","W0244-W0351-VC","Invaded","W0244","Non-Induced",0.0526,"W0351","Induced",0.0481,"7/7/2016",0.0257,0.0201,"7/11/2016","Velvetbean Caterpillar","11/8/16",0.01644,0.0269,0.028,"A",0,"EMO06","EMO","EMO09","EMO"
2,"I-S003","W0280-W0358-SL","Invaded","W0280","Non-Induced",0.0882,"W0358","Induced",0.0425,"7/7/2016",0.0522,0.0317,"7/11/2016","Soybean Looper","11/3/16",0.01013,0.036,0.0108,"A",1,"SDS1-06","SDS","SDS1b","SDS"
1,"I-V003","W0280-W0358-VC","Invaded","W0280","Non-Induced",0.0604,"W0358","Induced",0.0668,"7/7/2016",0.0208,0.0223,"7/11/2016","Velvetbean Caterpillar","11/8/16",0.01484,0.0396,0.0445,"A",0,"SDS1-06","SDS","SDS1b","SDS"
4,"N-S007","W0287-W0592-SL","Native","W0287","Non-Induced",0.0686,"W0592","Induced",0.0878,"7/9/2016",0.0473,0.0618,"7/11/2016","Soybean Looper","11/11/16",0.00979,0.0213,0.026,"B",0,"ORB13","ORB","ORB14","ORB"
3,"N-V007","W0287-W0592-VC","Native","W0287","Non-Induced",0.0524,"W0592","Induced",0.0756,"7/9/2016",0.0349,0.0698,"7/11/2016","Velvetbean Caterpillar","11/11/16",0.01246,0.0175,0.0058,"B",1,"ORB13","ORB","ORB14","ORB"
4,"N-S008","W0295-W0434-SL","Native","W0295","Non-Induced",0.0898,"WO434","Induced",0.0933,"7/9/2016",0.0581,0.0785,"7/11/2016","Soybean Looper","11/11/16",0.01236,0.0317,0.0148,"B",1,"SCAc2-12","SCA",NA,NA
3,"N-V008","W0295-W0434-VC","Native","W0295","Non-Induced",0.119,"WO434","Induced",0.1057,"7/9/2016",0.1055,0.1015,"7/11/2016","Velvetbean Caterpillar","11/11/16",0.02947,0.0135,0.0042,"B",1,"SCAc2-12","SCA",NA,NA
2,"I-S007","W0300-W0594-SL","Invaded","W0300","Non-Induced",0.076,"W0594","Induced",0.1065,"7/9/2016",0.0679,0.0918,"7/11/2016","Soybean Looper","11/11/16",0.00947,0.0081,0.0147,"B",0,"MLR10","MLR","MLR11","MLR"
1,"I-V007","W0300-W0594-VC","Invaded","W0300","Non-Induced",0.0513,"W0594","Induced",0.0952,"7/9/2016",0.0065,0.0139,"7/11/2016","Velvetbean Caterpillar","11/11/16",0.03359,0.0448,0.0813,"B",0,"MLR10","MLR","MLR11","MLR"
2,"I-S008","W0301-W0350-SL","Invaded","W0301","Non-Induced",0.0586,"W0350","Induced",0.0555,"7/9/2016",0.0256,0.0316,"7/11/2016","Soybean Looper","11/8/16",0.00827,0.033,0.0239,"B",1,"MEL17","MEL","MEL16","MEL"
1,"I-V008","W0301-W0350-VC","Invaded","W0301","Non-Induced",0.0372,"W0350","Induced",0.0544,"7/9/2016",0.0112,0.0013,"7/11/2016","Velvetbean Caterpillar","11/11/16",0.02908,0.026,0.0531,"B",0,"MEL17","MEL","MEL16","MEL"
2,"I-S009","W0303-W0347-SL","Invaded","W0303","Non-Induced",0.051,"W0347","Induced",0.0713,"7/9/2016",0.0496,0.0418,"7/11/2016","Soybean Looper","11/8/16",0.00938,0.0014,0.0295,"B",0,"DCR10","DCR","DCR09","DCR"
1,"I-V009","W0303-W0347-VC","Invaded","W0303","Non-Induced",0.064,"W0347","Induced",0.0861,"7/9/2016",0.0581,0.0523,"7/11/2016","Velvetbean Caterpillar","11/11/16",0.02098,0.0059,0.0338,"B",0,"DCR10","DCR","DCR09","DCR"
4,"N-S009","W0305-W0362-SL","Native","W0305","Non-Induced",0.0756,"W0362","Induced",0.1073,"7/9/2016",0.0962,0.0568,"7/11/2016","Soybean Looper","11/11/16",0.01253,-0.0206,0.0505,"B",0,"HUE10","HUE","HUE09","HUE"
3,"N-V009","W0305-W0362-VC","Native","W0305","Non-Induced",0.1082,"W0362","Induced",0.1051,"7/9/2016",0.0709,0.0945,"7/11/2016","Velvetbean Caterpillar","11/11/16",0.02093,0.0373,0.0106,"B",1,"HUE10","HUE","HUE09","HUE"
4,"N-S010","W0307-W0448-SL","Native","W0307","Non-Induced",0.157,"W0448","Induced",0.1593,"7/9/2016",0.0818,0.1547,"7/11/2016","Soybean Looper","11/11/16",0.01434,0.0752,0.0046,"B",1,"CAM11","CAM","CAM05","CAM"
3,"N-V010","W0307-W0448-VC","Native","W0307","Non-Induced",0.0973,"W0448","Induced",0.1491,"7/9/2016",0.0855,0.1087,"7/11/2016","Velvetbean Caterpillar","11/11/16",0.0305,0.0118,0.0404,"B",0,"CAM11","CAM","CAM05","CAM"
2,"I-S010","W0326-W0587-SL","Invaded","W0326","Non-Induced",0.1007,"W0587","Induced",0.0889,"7/9/2016",0.0606,0.0692,"7/11/2016","Soybean Looper","11/8/16",0.00733,0.0401,0.0197,"B",1,"NARc3-06","NAR","EMO11","EMO"
1,"I-V010","W0326-W0587-VC","Invaded","W0326","Non-Induced",0.1415,"W0587","Induced",0.1054,"7/9/2016",0.1225,0.0706,"7/11/2016","Velvetbean Caterpillar","11/11/16",0.02417,0.019,0.0348,"B",0,"NARc3-06","NAR","EMO11","EMO"
2,"I-S006","W0361-W0460-SL","Invaded","W0361","Non-Induced",0.0711,"W0460","Induced",0.0451,"7/9/2016",0.0461,0.0527,"7/11/2016","Soybean Looper","11/11/16",0.00889,0.025,-0.0076,"B",1,"STA13","STA","STA03","STA"
1,"I-V006","W0361-W0460-VC","Invaded","W0361","Non-Induced",0.0556,"W0460","Induced",0.0459,"7/9/2016",0.0346,0.0324,"7/11/2016","Velvetbean Caterpillar","11/11/16",0.03639,0.021,0.0135,"B",1,"STA13","STA","STA03","STA"
4,"N-S006","W0364-W0261-SL","Native","W0364","Non-Induced",0.0562,"W0261","Induced",0.1253,"7/9/2016",0.0161,0.058,"7/11/2016","Soybean Looper","11/11/16",0.01101,0.0401,0.0673,"B",0,"MIRc1-09","MIR","MIRc1-06","MIR"
3,"N-V006","W0364-W0261-VC","Native","W0364","Non-Induced",0.0541,"W0261","Induced",0.117,"7/9/2016",0.0429,0.0878,"7/11/2016","Velvetbean Caterpillar","11/15/17",0.0236,0.0112,0.0292,"B",0,"MIRc1-09","MIR","MIRc1-06","MIR"
2,"I-S001","W0429-W0584-SL","Invaded","W0429","Non-Induced",0.0786,"W0584","Induced",0.0881,"7/7/2016",0.0567,0.0572,"7/11/2016","Soybean Looper","11/3/16",0.0086,0.0219,0.0309,"A",0,"MEL09","MEL","MEL19","MEL"
1,"I-V001","W0429-W0584-VC","Invaded","W0429","Non-Induced",0.0659,"W0584","Induced",0.0949,"7/7/2016",0.0522,0.0662,"7/11/2016","Velvetbean Caterpillar","11/11/16",0.0126,0.0137,0.0287,"A",0,"MEL09","MEL","MEL19","MEL"
4,"N-S002","W0431-W0844-SL","Native","W0431","Non-Induced",0.1222,"W0844","Induced",0.1086,"7/7/2016",0.089,0.0913,"7/11/2016","Soybean Looper","11/3/16",0.00874,0.0332,0.0173,"A",1,"HIG02-02","HIG","HIG20-02","HIG"
3,"N-V002","W0431-W0844-VC","Native","W0431","Non-Induced",0.1276,"W0844","Induced",0.1019,"7/7/2016",0.1102,0.0762,"7/11/2016","Velvetbean Caterpillar","11/8/16",0.01361,0.0174,0.0257,"A",0,"HIG02-02","HIG","HIG20-02","HIG"
4,"N-S001","W0444-W0597-SL","Native","W0444","Non-Induced",0.0372,"W0597","Induced",0.0399,"7/7/2016",0.0321,0.0355,"7/11/2016","Soybean Looper","11/3/16",0.00732,0.0051,0.0044,"A",1,"MUSs1-03","MUS","MUSs1-08","MUS"
3,"N-V001","W0444-W0597-VC","Native","W0444","Non-Induced",0.0325,"W0597","Induced",0.0443,"7/7/2016",0.0099,0.0191,"7/11/2016","Velvetbean Caterpillar","11/8/16",0.0189,0.0226,0.0252,"A",0,"MUSs1-03","MUS","MUSs1-08","MUS"
2,"I-S002","W0454-W0348-SL","Invaded","W0454","Non-Induced",0.0555,"W0348","Induced",0.0374,"7/7/2016",0.0424,0.0203,"7/11/2016","Soybean Looper","11/3/16",0.00959,0.0131,0.0171,"A",0,"ARC05-01","ARC","ARC14","ARC"
1,"I-V002","W0454-W0348-VC","Invaded","W0454","Non-Induced",0.0485,"W0348","Induced",0.0385,"7/7/2016",0.0306,0.0135,"7/11/2016","Velvetbean Caterpillar","11/11/16",0.01605,0.0179,0.025,"A",0,"ARC05-01","ARC","ARC14","ARC"
