Assay_No,AssayID,PlantID_1,Range_1,LfWt1_Initial,PlantID_2,Range_2,LfWt2_Initial,Date_Initial,LfWt1_Final,LfWt2_Final,Date_Final,Herbivore,DateHerb_Final,HerbWt_Final,AmtPlant1Consumed,AmtPlant2Consumed,CatStage,Inv_1_Nat_0,Genotype_Plant1,Population_Plant1,Genotype_Plant2,Population_Plant2
2,S064,W0044,Invaded,0.0498,W0045,Native,0.0507,7/14/16,0.0414,0.0309,7/15/16,Soybean Looper,11/11/16,0.01158,0.0084,0.0198,D,0,MLR16,MLR,DEB18,DEB
1,V064,W0044,Invaded,0.0316,W0045,Native,0.0607,7/14/16,0.0157,0.0507,7/15/16,Velvetbean Caterpillar,11/11/16,0.03124,0.0159,0.01,D,1,MLR16,MLR,DEB18,DEB
2,S065,W0048,Invaded,0.0336,W0046,Native,0.0399,7/14/16,0.0178,0.0351,7/15/16,Soybean Looper,11/11/16,0.01682,0.0158,0.0048,D,1,EMO15,EMO,MUSs1-11,MUS
1,V065,W0048,Invaded,0.0336,W0046,Native,0.0481,7/14/16,0.0231,0.0281,7/15/16,Velvetbean Caterpillar,11/11/16,0.02166,0.0105,0.02,D,0,EMO15,EMO,MUSs1-11,MUS
2,S066,W0050,Invaded,0.0448,W0047,Native,0.054,7/14/16,0.0385,0.0475,7/15/16,Soybean Looper,11/11/16,0.01572,0.0063,0.0065,D,0,DCR15,DCR,LDSc3-01,LDS
1,V066,W0050,Invaded,0.0581,W0047,Native,0.0662,7/14/16,0.0566,0.0596,7/15/16,Velvetbean Caterpillar,11/11/16,0.04505,0.0015,0.0066,D,0,DCR15,DCR,LDSc3-01,LDS
2,S067,W0057,Invaded,0.0246,W0049,Native,0.0437,7/14/16,0.0313,0.0482,7/15/16,Soybean Looper,11/11/16,0.0157,-0.0067,-0.0045,D,0,MEL23,MEL,CAM16,CAM
1,V067,W0057,Invaded,0.0227,W0049,Native,0.0311,7/14/16,0.0182,0.0217,7/15/16,Velvetbean Caterpillar,11/11/16,0.02863,0.0045,0.0094,D,0,MEL23,MEL,CAM16,CAM
2,S068,W0059,Invaded,0.0668,W0053,Native,0.0599,7/14/16,0.0617,0.0546,7/15/16,Soybean Looper,11/11/16,0.0149,0.0051,0.0053,D,0,BHI33-15,BHI,SCAc2-18,SCA
1,V068,W0059,Invaded,0.068,W0053,Native,0.064,7/14/16,0.0472,0.0501,7/15/16,Velvetbean Caterpillar,11/11/16,0.01665,0.0208,0.0139,D,1,BHI33-15,BHI,SCAc2-18,SCA
2,S069,W0070,Invaded,0.0456,W0054,Native,0.0495,7/14/16,0.0291,0.0103,7/15/16,Soybean Looper,11/11/16,0.02776,0.0165,0.0392,D,0,PEA23,PEA,LIS14,LIS
1,V069,W0070,Invaded,0.0288,W0054,Native,0.0508,7/14/16,8.00E-04,0.0254,7/15/16,Velvetbean Caterpillar,11/11/16,0.02566,0.028,0.0254,D,1,PEA23,PEA,LIS14,LIS
2,S070,W0071,Invaded,0.0318,W0058,Native,0.056,7/14/16,0.0197,0.0461,7/15/16,Soybean Looper,11/11/16,0.01302,0.0121,0.0099,D,1,ARC22,ARC,HUE15,HUE
1,V070,W0071,Invaded,0.0306,W0058,Native,0.0676,7/14/16,0.0203,0.058,7/15/16,Velvetbean Caterpillar,11/11/16,0.04851,0.0103,0.0096,D,1,ARC22,ARC,HUE15,HUE
2,S071,W0073,Invaded,0.0671,W0060,Native,0.0478,7/14/16,0.0176,0.0282,7/15/16,Soybean Looper,11/11/16,0.02718,0.0495,0.0196,D,1,SDS2-05,SDS,CRG15,CRG
1,V071,W0073,Invaded,0.0735,W0060,Native,0.0452,7/14/16,0.0646,0.0016,7/15/16,Velvetbean Caterpillar,11/11/16,0.04789,0.0089,0.0436,D,0,SDS2-05,SDS,CRG15,CRG
2,S007,W0238,Invaded,0.09197,W0459,Native,0.08811,7/6/16,0.0382,0.0277,7/11/16,Soybean Looper,11/3/16,0.00557,0.05377,0.06041,A,0,ARC08,ARC,SAN09-03,SAN
1,V013,W0270,Invaded,0.06286,W0239,Native,0.10174,7/6/16,0.0468,0.0811,7/11/16,Velvetbean Caterpillar,11/3/16,0.00599,0.01606,0.02064,A,0,PEA13,PEA,SAN11-02,SAN
2,S011,W0241,Invaded,0.03996,W0462,Native,0.05601,7/6/16,0.011,0.0134,7/11/16,Soybean Looper,11/3/16,0.00535,0.02896,0.04261,A,0,MEL11,MEL,FUSB1,FUS
1,V018,W0280,Invaded,0.05239,W0245,Native,0.0252,7/6/16,0.0088,0.0239,7/11/16,Velvetbean Caterpillar,11/11/16,0.01594,0.04359,0.0013,A,1,SDS1-06,SDS,ALT06,ALT
2,S017,W0244,Invaded,0.03446,W0464,Native,0.03496,7/6/16,0.0076,0.0076,7/11/16,Soybean Looper,11/11/16,0.00472,0.02686,0.02736,A,0,EMO06,EMO,DEB04,DEB
1,V021,W0281,Invaded,0.05337,W0255,Native,0.0616,7/6/16,0.0478,0.0641,7/11/16,Velvetbean Caterpillar,10/31/16,0.00977,0.00557,-0.0025,A,1,PAL09,PAL,NARc1-03,NAR
2,S020,W0257,Invaded,0.09426,W0465,Native,0.03688,7/6/16,0.0222,0.0188,7/11/16,Soybean Looper,11/11/16,0.00492,0.07206,0.01808,A,1,MLR06,MLR,PI250782,MP-PI250782
1,V004,W0347,Invaded,0.06208,W0256,Native,0.06378,7/6/16,0.0562,0.0429,7/11/16,Velvetbean Caterpillar,11/11/16,0.01597,0.00588,0.02088,A,0,DCR09,DCR,DEB07,DEB
2,S003,W0258,Invaded,0.07524,W0471,Native,0.07194,7/6/16,0.027,0.0692,7/11/16,Soybean Looper,11/8/16,0.00539,0.04824,0.00274,A,1,STA05,STA,AUR09,AUR
1,V009,W0809,Invaded,0.05033,W0265,Native,0.0495,7/6/16,0.0153,0.0057,7/11/16,Velvetbean Caterpillar,11/3/16,0.01846,0.03503,0.0438,A,0,MLR07,MLR,AZN06,AZN
2,S008,W0266,Invaded,0.03931,W0472,Native,0.06516,7/6/16,0.051,0.0303,7/11/16,Soybean Looper,11/3/16,0.00353,-0.01169,0.03486,A,0,BHI33-06,BHI,AZN04,AZN
1,V014,W0813,Invaded,0.07211,W0269,Native,0.1036,7/6/16,0.0683,0.0927,7/11/16,Velvetbean Caterpillar,11/3/16,0.00964,0.00381,0.0109,A,0,PAL10,PAL,W65435,MP-W65435
