PlantID,Range,AmtConsumed,CatStage,Herbivore,Population,Partner_Pop
W0429,Invaded,0.00455,A,Soybean Looper,MEL,HIG
W0474,Invaded,0.03338,A,Soybean Looper,RIV,NAR
W0258,Invaded,0.04824,A,Soybean Looper,STA,AUR
W0347,Invaded,0.00603,A,Soybean Looper,DCR,DEB
W0822,Invaded,0.02849,A,Soybean Looper,DCR,CRG
W0443,Invaded,0.08367,A,Soybean Looper,MAG,MUS
W0238,Invaded,0.05377,A,Soybean Looper,ARC,SAN
W0266,Invaded,-0.01169,A,Soybean Looper,BHI,AZN
W0809,Invaded,0.00557,A,Soybean Looper,MLR,AZN
W0454,Invaded,0.03269,A,Soybean Looper,ARC,CAR
W0241,Invaded,0.02896,A,Soybean Looper,MEL,FUS
W0828,Invaded,0.0305,A,Soybean Looper,STA,MP-PI319029
W0270,Invaded,0.03331,A,Soybean Looper,PEA,SAN
W0813,Invaded,0.01468,A,Soybean Looper,PAL,MP-W65435
W0832,Invaded,0.03986,A,Soybean Looper,EMO,RTM
W0463,Invaded,0.04665,A,Soybean Looper,BHI,FUR
W0244,Invaded,0.02686,A,Soybean Looper,EMO,DEB
W0280,Invaded,0.0477,A,Soybean Looper,SDS,ALT
W0470,Invaded,0.01201,A,Soybean Looper,MLR,MIR
W0257,Invaded,0.07206,A,Soybean Looper,MLR,MP-PI250782
W0281,Invaded,0.0345,A,Soybean Looper,PAL,NAR
W0818,Invaded,0.00175,A,Soybean Looper,MEL,AUR
W0845,Invaded,0.04863,A,Soybean Looper,SDS,DEB
W0843,Invaded,0.02015,A,Soybean Looper,PEA,SAN
W0817,Invaded,0.02859,A,Soybean Looper,BHI,HIG
W0361,Invaded,0.0184,B,Soybean Looper,STA,MIR
W0289,Invaded,0.0085,B,Soybean Looper,ARC,ORB
W0291,Invaded,0.023,B,Soybean Looper,MP-PI566876,SAN
W0296,Invaded,0.0236,B,Soybean Looper,SDS,SCA
W0300,Invaded,0.0108,B,Soybean Looper,MLR,HIG
W0301,Invaded,0.0567,B,Soybean Looper,MEL,HUE
W0302,Invaded,0.0465,B,Soybean Looper,STA,COS
W0303,Invaded,0.0205,B,Soybean Looper,DCR,CAM
W0320,Invaded,0.0678,B,Soybean Looper,EMO,SAN
W0615,Invaded,0.0076,C,Soybean Looper,BHI,CRG
W0620,Invaded,0.0073,C,Soybean Looper,EMO,BOL
W0622,Invaded,0.0184,C,Soybean Looper,PEA,FUR
W0634,Invaded,0.0068,C,Soybean Looper,MLR,CAM
W0644,Invaded,-0.0038,C,Soybean Looper,SDS,RHA
W0648,Invaded,0.0078,C,Soybean Looper,MP-PI577391,CVD
W0649,Invaded,0.0186,C,Soybean Looper,DCR,RTM
W0652,Invaded,0.0152,C,Soybean Looper,MEL,DEB
W0772,Invaded,0.0197,C,Soybean Looper,EMO,HIG
W0778,Invaded,0.0174,C,Soybean Looper,MP-PI577392,SAN
W0780,Invaded,0.0162,C,Soybean Looper,DCR,FUS
W0783,Invaded,0.001,C,Soybean Looper,SDS,CAM
W0790,Invaded,0.0305,C,Soybean Looper,MLR,DEB
W0792,Invaded,0.0144,C,Soybean Looper,ARC,RTM
W0272,Invaded,0.0126,C,Soybean Looper,DCR,CAR
W0466,Invaded,0.0158,C,Soybean Looper,DCR,LIS
W0467,Invaded,0.0561,C,Soybean Looper,PAL,HIG
W0349,Invaded,0.0488,C,Soybean Looper,BHI,MP-PI493291
W0285,Invaded,0.0297,C,Soybean Looper,BHI,NAR
W0526,Invaded,0.0177,D,Soybean Looper,ARC,AZN
W0527,Invaded,0.0057,D,Soybean Looper,DCR,HIG
W0529,Invaded,0.0109,D,Soybean Looper,BHI,FUR
W0530,Invaded,-0.0015,D,Soybean Looper,MEL,HUE
W0545,Invaded,0.0111,D,Soybean Looper,SDS,RTM
W0546,Invaded,0.012,D,Soybean Looper,MLR,SAN
W0549,Invaded,0.0496,D,Soybean Looper,EMO,ALT
W0550,Invaded,-0.0335,D,Soybean Looper,PEA,CVD
W0044,Invaded,0.0084,D,Soybean Looper,MLR,DEB
W0048,Invaded,0.0158,D,Soybean Looper,EMO,MUS
W0050,Invaded,0.0063,D,Soybean Looper,DCR,LDS
W0057,Invaded,-0.0067,D,Soybean Looper,MEL,CAM
W0059,Invaded,0.0051,D,Soybean Looper,BHI,SCA
W0070,Invaded,0.0165,D,Soybean Looper,PEA,LIS
W0071,Invaded,0.0121,D,Soybean Looper,ARC,HUE
W0073,Invaded,0.0495,D,Soybean Looper,SDS,CRG
W0429,Invaded,0.00167,A,Velvetbean Caterpillar,MEL,HIG
W0474,Invaded,0.03864,A,Velvetbean Caterpillar,RIV,NAR
W0258,Invaded,0.01687,A,Velvetbean Caterpillar,STA,AUR
W0347,Invaded,0.00588,A,Velvetbean Caterpillar,DCR,DEB
W0822,Invaded,0.00644,A,Velvetbean Caterpillar,DCR,CRG
W0443,Invaded,0.00766,A,Velvetbean Caterpillar,MAG,MUS
W0238,Invaded,0.00835,A,Velvetbean Caterpillar,ARC,SAN
W0266,Invaded,0.00688,A,Velvetbean Caterpillar,BHI,AZN
W0809,Invaded,0.03503,A,Velvetbean Caterpillar,MLR,AZN
W0454,Invaded,0.04162,A,Velvetbean Caterpillar,ARC,CAR
W0241,Invaded,0.03743,A,Velvetbean Caterpillar,MEL,FUS
W0828,Invaded,0.03889,A,Velvetbean Caterpillar,STA,MP-PI319029
W0270,Invaded,0.01606,A,Velvetbean Caterpillar,PEA,SAN
W0813,Invaded,0.00381,A,Velvetbean Caterpillar,PAL,MP-W65435
W0832,Invaded,0.00855,A,Velvetbean Caterpillar,EMO,RTM
W0463,Invaded,0.0075,A,Velvetbean Caterpillar,BHI,FUR
W0244,Invaded,0.00015,A,Velvetbean Caterpillar,EMO,DEB
W0280,Invaded,0.04359,A,Velvetbean Caterpillar,SDS,ALT
W0470,Invaded,0.00896,A,Velvetbean Caterpillar,MLR,MIR
W0257,Invaded,-0.00032,A,Velvetbean Caterpillar,MLR,MP-PI250782
W0281,Invaded,0.00557,A,Velvetbean Caterpillar,PAL,NAR
W0818,Invaded,0.01572,A,Velvetbean Caterpillar,MEL,AUR
W0845,Invaded,0.00386,A,Velvetbean Caterpillar,SDS,DEB
W0843,Invaded,0.00419,A,Velvetbean Caterpillar,PEA,SAN
W0817,Invaded,0.01347,A,Velvetbean Caterpillar,BHI,HIG
W0361,Invaded,0.0056,B,Velvetbean Caterpillar,STA,MIR
W0289,Invaded,0.0029,B,Velvetbean Caterpillar,ARC,ORB
W0291,Invaded,0.0175,B,Velvetbean Caterpillar,MP-PI566876,SAN
W0296,Invaded,0.0042,B,Velvetbean Caterpillar,SDS,SCA
W0300,Invaded,0.0312,B,Velvetbean Caterpillar,MLR,HIG
W0301,Invaded,0.009,B,Velvetbean Caterpillar,MEL,HUE
W0302,Invaded,0.0208,B,Velvetbean Caterpillar,STA,COS
W0303,Invaded,0.0097,B,Velvetbean Caterpillar,DCR,CAM
W0320,Invaded,0.0178,B,Velvetbean Caterpillar,EMO,SAN
W0615,Invaded,0.0186,C,Velvetbean Caterpillar,BHI,CRG
W0620,Invaded,0.0053,C,Velvetbean Caterpillar,EMO,BOL
W0622,Invaded,0.0366,C,Velvetbean Caterpillar,PEA,FUR
W0634,Invaded,0.0357,C,Velvetbean Caterpillar,MLR,CAM
W0644,Invaded,0.0127,C,Velvetbean Caterpillar,SDS,RHA
W0648,Invaded,0.0028,C,Velvetbean Caterpillar,MP-PI577391,CVD
W0649,Invaded,0.0369,C,Velvetbean Caterpillar,DCR,RTM
W0652,Invaded,0.0041,C,Velvetbean Caterpillar,MEL,DEB
W0772,Invaded,0.0056,C,Velvetbean Caterpillar,EMO,HIG
W0778,Invaded,0.0027,C,Velvetbean Caterpillar,MP-PI577392,SAN
W0780,Invaded,0.0015,C,Velvetbean Caterpillar,DCR,FUS
W0783,Invaded,0.0066,C,Velvetbean Caterpillar,SDS,CAM
W0790,Invaded,0.0562,C,Velvetbean Caterpillar,MLR,DEB
W0792,Invaded,0.0463,C,Velvetbean Caterpillar,ARC,RTM
W0272,Invaded,0.0109,C,Velvetbean Caterpillar,DCR,CAR
W0466,Invaded,0.0023,C,Velvetbean Caterpillar,DCR,LIS
W0467,Invaded,0.0364,C,Velvetbean Caterpillar,PAL,HIG
W0349,Invaded,0.0387,C,Velvetbean Caterpillar,BHI,MP-PI493291
W0285,Invaded,0.0076,C,Velvetbean Caterpillar,BHI,NAR
W0526,Invaded,-0.001,D,Velvetbean Caterpillar,ARC,AZN
