,SLNoMatches,SLMatchPoints,VNoMatches,VMatchPoints
MEL,5,0,6,0.416666667
STA,4,0.75,4,0
DCR,8,0.375,8,0
MAG,1,1,1,1
ARC,6,0.5,5,0.8
MLR,7,0.428571429,6,1
PEA,3,0.666666667,4,0.625
PAL,3,0.333333333,2,0.5
EMO,6,0.833333333,6,0.333333333
BHI,7,0.714285714,6,0.75
SDS,6,0.5,5,0.4
Al_USA,1,1,1,0
CA2_USA,1,1,1,0
CA1_USA,1,1,1,0
RIV,1,1,1,1
HIG,6,0.833333333,6,0.5
AUR,2,0.5,2,0
DEB,4,0.25,4,0.5
CRG,3,0.666666667,3,0.333333333
MUS,2,1,2,0.5
SAN,2,0.5,6,0.416666667
AZN,2,0.5,1,0
CAR,2,0.5,2,0.5
FUS,2,0.5,2,0.5
Spain,1,1,1,0
Algeria,1,0,1,0
RTM,4,0.5,4,0.5
FUR,2,1,2,0.75
ALT,2,1,2,0.5
MIR,2,0,2,0.5
ORB,1,0,1,0
SCA,2,0,2,0.5
HUE,2,0.5,2,0.75
COS,1,1,1,0
CAM,3,0,3,0.333333333
BOL,1,1,1,1
CVD,1,1,2,0
LIS,2,0,2,0.5
Portugal,1,1,1,1
NAR,3,0.666666667,2,0
LDS,1,1,1,0
Afghanistan,1,1,1,0
