Genotypes,Range,Site
W0419,Native,"Arles, France"
W0076,Invaded,"Arcata, CA, USA"
W0420,Native,"Santona, Spain"
W0077,Native,"Deba, Gipuzkoa, Spain"
W0421,Native,Turkey
W0078,Native,Uruguay
W0422,Native,"Frontignan, France"
W0079,Native,"Lac du Sagou, France"
W0423,Native,"San Sebastian, Spain"
W0424,Native,"Lac du Sagou, France"
W0081,Native,Lebanon
W0080,Native,"Narbonne, France"
W0425,Native,"Narbonne, France"
W0082,Native,"Santona, Spain"
W0426,Native,"Deba, Gipuzkoa, Spain"
W0083,Native,"Frontignan, France"
W0427,Native,France
W0084,Native,"Arles, France"
W0085,Native,"San Sebastian, Spain"
W0475,Native,France
W0476,Native,"Deba, Gipuzkoa, Spain"
W0113,Native,"Santona, Spain"
W0477,Native,"Narbonne, France"
W0114,Native,"Corsica, France"
W0478,Native,"Santona, Spain"
W0115,Native,"Frontignan, France"
W0479,Native,"Arles, France"
W0480,Native,"San Sebastian, Spain"
W0116,Native,"Narbonne, France"
W0117,Native,"San Sebastian, Spain"
W0118,Native,"Arles, France"
W0119,Invaded,Bolivia
W0120,Native,"Frontignan, France"
W0513,Native,"Arles, France"
W0121,Native,"Deba, Gipuzkoa, Spain"
W0122,Native,"Lisbon, Portugal"
W0514,Native,"San Sebastian, Spain"
W0123,Native,"San Sebastian, Spain"
W0515,Native,"Narbonne, France"
W0124,Native,"Narbonne, France"
W0516,Native,"Deba, Gipuzkoa, Spain"
W0127,Native,"Lac du Sagou, France"
W0128,Native,"Santona, Spain"
W0517,Invaded,"Arcata, CA, USA"
W0518,Native,"Frontignan, France"
W0130,Invaded,"Arcata, CA, USA"
W0132,Native,"Arles, France"
W0520,Native,China
W0134,Native,"Narbonne, France"
W0135,Native,"Huelva, Spain"
W0522,Native,Greece
W0137,Native,"Fuseta, Portugal"
W0138,Native,"Lac du Sagou, France"
W0600,Native,"Narbonne, France"
W0140,Native,"San Sebastian, Spain"
W0601,Native,"Deba, Gipuzkoa, Spain"
W0142,Native,"Castro Marim, Portugal"
W0603,Invaded,"Arcata, CA, USA"
W0143,Invaded,Chile 3
W0144,Native,"Aznalcollar, Seville, Spain"
W0604,Native,"Frontignan, France"
W0145,Native,"Santona, Spain"
W0605,Native,"Lac du Sagou, France"
W0146,Invaded,"Arcata, CA, USA"
W0606,Native,"Lisbon, Portugal"
W0148,Native,Lebanon
W0149,Native,"Seville, Spain"
W0607,Invaded,"Roseburg, OR, USA"
W0608,Invaded,Chile
W0152,Native,"Deba, Gipuzkoa, Spain"
W0153,Invaded,"Vista, CA, USA"
W0609,Native,"Arles, France"
W0154,Native,"Lisbon, Portugal"
W0610,Invaded,"Berkeley, CA, USA"
W0155,Invaded,"Napa, CA, USA"
W0156,Invaded,"Berkeley, CA, USA"
W0611,Native,"Santona, Spain"
W0157,Native,"Frontignan, France"
W0613,Native,"San Sebastian, Spain"
W0158,Native,"Santona, Spain"
W0160,Invaded,Brazil
W0747,Native,"Seville, Spain"
W0161,Native,"Lac du Sagou, France"
W0162,Native,"Deba, Gipuzkoa, Spain"
W0748,Native,"Lisbon, Portugal"
W0163,Native,"Lisbon, Portugal"
W0749,Native,"San Sebastian, Spain"
W0165,Native,"Arles, France"
W0750,Native,"Arles, France"
W0166,Native,"San Sebastian, Spain"
W0751,Native,"Santona, Spain"
W0167,Invaded,"Arcata, CA, USA"
W0752,Native,"Castro Marim, Portugal"
W0168,Native,"Narbonne, France"
W0753,Native,"Deba, Gipuzkoa, Spain"
W0049,Native,"Castro Marim, Portugal"
W0070,Invaded,"Casa Grande, AZ, USA"
W0073,Invaded,"San Diego, California, USA"
W0244,Invaded,"Temecula, CA, USA"
W0280,Invaded,"San Diego, California, USA"
W0287,Native,"Orbetella, Italy"
W0295,Native,"San Carlo, Italy"
W0300,Invaded,"Napa, CA, USA"
W0301,Invaded,"Roseburg, OR, USA"
W0303,Invaded,"Vista, CA, USA"
W0305,Native,"Huelva, Spain"
W0307,Native,"Castro Marim, Portugal"
W0326,Native,"Narbonne, France"
W0361,Invaded,"Saint Augustine, FL, USA"
W0364,Native,"Mirabilandia, Italy"
W0429,Invaded,"Roseburg, OR, USA"
W0431,Native,"San Sebastian, Spain"
W0444,Native,"Frontignan, France"
W0454,Invaded,"Arcata, CA, USA"
W0459,Native,"Santona, Spain"
W0470,Invaded,"Napa, CA, USA"
W0471,Native,"Aurelius, actually near Breccia, Italy"
W0472,Native,"Aznalcollar, Seville, Spain"
W0524,Native,"Aznalcollar, Seville, Spain"
W0525,Native,"San Sebastian, Spain"
W0527,Invaded,"Vista, CA, USA"
W0529,Invaded,"Berkeley, CA, USA"
W0530,Invaded,"Roseburg, OR, USA"
W0533,Native,"Santona, Spain"
W0536,Native,"Castro Verde, Portugal"
W0614,Native,"Seville, Spain"
W0615,Invaded,"Berkeley, CA, USA"
W0617,Native,"Bolsera 1, Italy"
W0622,Invaded,"Casa Grande, AZ, USA"
W0625,Native,"Deba, Gipuzkoa, Spain"
W0626,Native,"San Sebastian, Spain"
W0644,Invaded,"San Diego, California, USA"
W0649,Invaded,"Vista, CA, USA"
W0652,Invaded,"Roseburg, OR, USA"
W0771,Native,"Santona, Spain"
W0506,Invaded,"Casa Grande, AZ, USA"
W0511,Invaded,"Roseburg, OR, USA"
W0351,Invaded,"Temecula, CA, USA"
W0358,Invaded,"San Diego, California, USA"
W0592,Native,"Orbetella, Italy"
W0434,Native,"San Carlo, Italy"
W0594,Invaded,"Napa, CA, USA"
W0350,Invaded,"Roseburg, OR, USA"
W0347,Invaded,"Vista, CA, USA"
W0362,Native,"Huelva, Spain"
W0448,Native,"Castro Marim, Portugal"
W0587,Invaded,"Temecula, CA, USA"
W0460,Invaded,"Saint Augustine, FL, USA"
W0261,Native,"Mirabilandia, Italy"
W0584,Invaded,"Roseburg, OR, USA"
W0844,Native,"San Sebastian, Spain"
W0597,Native,"Frontignan, France"
W0348,Invaded,"Arcata, CA, USA"
W0290,Native,"Santona, Spain"
W0363,Invaded,"Napa, CA, USA"
W0353,Native,"Aurelius, actually near Breccia, Italy"
W0352,Native,"Aznalcollar, Seville, Spain"
W0488,Native,"San Sebastian, Spain"
W0490,Native,"Castro Verde, Portugal"
W0486,Invaded,"Berkeley, CA, USA"
W0500,Invaded,"San Diego, California, USA"
W0501,Invaded,"Vista, CA, USA"
W0492,Native,"Santona, Spain"
W0493,Native,"Aznalcollar, Seville, Spain"
W0793,Native,"Seville, Spain"
W0581,Invaded,"Berkeley, CA, USA"
W0785,Native,"Bolsera 1, Italy"
W0562,Invaded,"Casa Grande, AZ, USA"
W0819,Native,"Deba, Gipuzkoa, Spain"
W0836,Native,"San Sebastian, Spain"
W0595,Invaded,"San Diego, California, USA"
W0571,Invaded,"Vista, CA, USA"
W0584,Invaded,"Roseburg, OR, USA"
W0337,Native,"Santona, Spain"
W0088,Native,"Castro Marim, Portugal"
W0429,Invaded,"Roseburg, OR, USA"
W0474,Invaded,"Hillsborough, FL, USA"
W0258,Invaded,"Saint Augustine, FL, USA"
W0347,Invaded,"Vista, CA, USA"
W0822,Invaded,"Vista, CA, USA"
W0443,Invaded,"Houston, TX, USA"
W0238,Invaded,"Arcata, CA, USA"
W0266,Invaded,"Berkeley, CA, USA"
W0809,Invaded,"Napa, CA, USA"
W0454,Invaded,"Arcata, CA, USA"
W0241,Invaded,"Roseburg, OR, USA"
W0828,Invaded,"Saint Augustine, FL, USA"
W0270,Invaded,"Casa Grande, AZ, USA"
W0813,Invaded,"Palatka, FL, USA"
W0832,Invaded,"Temecula, CA, USA"
W0463,Invaded,"Berkeley, CA, USA"
W0244,Invaded,"Temecula, CA, USA"
W0280,Invaded,"San Diego, California, USA"
W0470,Invaded,"Napa, CA, USA"
W0257,Invaded,"Napa, CA, USA"
W0281,Invaded,"Palatka, FL, USA"
W0818,Invaded,"Roseburg, OR, USA"
W0845,Invaded,"San Diego, California, USA"
W0843,Invaded,"Casa Grande, AZ, USA"
W0817,Invaded,"Berkeley, CA, USA"
W0361,Invaded,"Saint Augustine, FL, USA"
W0289,Invaded,"Arcata, CA, USA"
W0291,Invaded,"AL, USA"
W0296,Invaded,"San Diego, California, USA"
W0300,Invaded,"Napa, CA, USA"
W0301,Invaded,"Roseburg, OR, USA"
W0302,Invaded,"Saint Augustine, FL, USA"
W0303,Invaded,"Vista, CA, USA"
W0320,Invaded,"Temecula, CA, USA"
W0615,Invaded,"Berkeley, CA, USA"
W0620,Invaded,"Temecula, CA, USA"
W0622,Invaded,"Casa Grande, AZ, USA"
W0634,Invaded,"Napa, CA, USA"
W0644,Invaded,"San Diego, California, USA"
W0648,Invaded,California 2
W0649,Invaded,"Vista, CA, USA"
W0652,Invaded,"Roseburg, OR, USA"
W0772,Invaded,"Temecula, CA, USA"
W0778,Invaded,California 1
W0780,Invaded,"Vista, CA, USA"
W0783,Invaded,"San Diego, California, USA"
W0790,Invaded,"Napa, CA, USA"
W0792,Invaded,"Arcata, CA, USA"
W0272,Invaded,"Vista, CA, USA"
W0466,Invaded,"Vista, CA, USA"
W0467,Invaded,"Palatka, FL, USA"
W0349,Invaded,"Berkeley, CA, USA"
W0285,Invaded,"Berkeley, CA, USA"
W0526,Invaded,"Arcata, CA, USA"
W0527,Invaded,"Vista, CA, USA"
W0529,Invaded,"Berkeley, CA, USA"
W0530,Invaded,"Roseburg, OR, USA"
W0545,Invaded,"San Diego, California, USA"
W0546,Invaded,"Napa, CA, USA"
