"Site.ID","Unique.ID","Block","Tube.No","Pod.Produced","Medic.spp","Range","Origin","Community","changed.from.MSU.shipment.name","MSU.Genotype","Generation.Received","WSU.Genotype","date.f","date.s","date_diff","GPS.1","GPS.2"
"SCA","W0001",1,878,"Field","Mpol","Native","San Carlo, Italy","c2","","SCAc2-10","F0","MP-SCAc2-10-F0","6/24/16","4/9/16",76,44.086395,12.187785
"FUS","W0002",1,43,"MSU","Mpol","Native","Fuseta, Portugal","C","","FUSC2","F1","MP-FUSC2-F1","5/31/16","4/9/16",52,NA,NA
"ALT","W0003",1,141,"MSU","Mpol","Native","Alter, Portugal","","","ALT08","F1","MP-ALT08-F1","5/31/16","4/9/16",52,37.168255,-8.090313
"ORB","W0004",1,860,"Field","Mpol","Native","Orbetella, Italy","","ORBc1-11","ORB11","F0","MP-ORB11-F0","6/10/16","4/9/16",62,42.44123,11.20262
"RHA","W0005",1,840,"Field","Mpol","Native","Rome Harbor parking lot, Italy","","RHAc1-09","RHA09","F0","MP-RHA09-F0","6/15/16","4/9/16",67,NA,NA
"CVD","W0006",1,35,"MSU","Mpol","Native","Castro Verde, Portugal","","","CVD09","F1","MP-CVD09-F1","6/1/16","4/9/16",53,37.708491,-8.099286
"CAM","W0007",1,4,"MSU","Mpol","Native","Castro Marim, Portugal","","","CAM09","F1","MP-CAM09-F1","6/1/16","4/9/16",53,37.21854,-7.4492062
"MEL","W0008",1,91,"MSU","Mpol","Invaded","Roseburg, OR, USA","","","MEL13","F1","MP-MEL13-F1","6/6/16","4/9/16",58,43.221144,-123.406702
"DEB","W0009",1,379,"MSU","Mpol","Native","Deba, Gipuzkoa, Spain","","","DEB09","F1","MP-DEB09-F1","6/15/16","4/9/16",67,43.301433,2.344602
"SAN","W0010",1,755,"Field","Mpol","Native","Santona, Spain","","","SAN36-01","F0","MP-SAN36-01-F0","7/13/16","4/9/16",95,43.45713,4.353194
"LDS","W0011",1,154,"MSU","Mpol","Native","Lac du Sagou, France","","","LDS07","F1","MP-LDS07-F1","6/13/16","4/9/16",65,43.67624,3.352244
"HUE","W0012",1,328,"MSU","Mpol","Native","Huelva, Spain","","","HUE08","F1","MP-HUE08-F1","5/23/16","4/9/16",44,37.265483,-6.854716
"STA","W0013",1,1,"MSU","Mpol","Invaded","Saint Augustine, FL, USA","","","STA11","F2","MP-STA11-F2","5/24/16","4/9/16",45,29.55354,-81193554
"LAT","W0014",1,799,"Field","Mpol","Native","Latera, Italy","","LATc1-08","LAT08","F0","MP-LAT08-F0",NA,"4/9/16",NA,42.62872,11.82045
"HIG","W0015",1,657,"Field","Mpol","Native","San Sebastian, Spain","","","HIG04-01","F0","MP-HIG04-01-F0","7/13/16","4/9/16",95,43.39133,1.792166
"SDS","W0016",1,310,"MSU","Mpol","Invaded","San Diego, California, USA","","","SDS1a","F1","MP-SDS1a-F1","5/31/16","4/9/16",52,32.775721,-117.074083
"BHI","W0017",1,187,"MSU","Mpol","Invaded","Berkeley, CA, USA","","","BHI33-08","F1","MP-BHI33-08-F1","5/31/16","4/9/16",52,37.875926,-122.350833
"COS","W0018",1,49,"MSU","Mpol","Native","Huelva, Spain","","","COS09","F1","MP-COS09-F1","6/6/16","4/9/16",58,37.449665,-6.569143
"AUR","W0019",1,938,"Field","Mpol","Native","Aurelius, actually near Breccia, Italy","","AURc1-15","AUR15","F0","MP-AUR15-F0","5/17/16","4/9/16",38,45.54358,10.15363
"NAR","W0020",1,594,"Field","Mpol","Native","Narbonne, France","c1","","NARc1-04","F0","MP-NARc1-04-F0","6/6/16","4/9/16",58,43.15515,3.070667
"CAR","W0021",1,604,"Field","Mpol","Native","Carcassonne, France","","","CAR09","F0","MP-CAR09-F0","6/20/16","4/9/16",72,43.204557,2.37969
"MLR","W0022",1,368,"MSU","Mpol","Invaded","Napa, CA, USA","","","MLR08","F1","MP-MLR08-F1","6/1/16","4/9/16",53,38.873952,-122.42384
"ARC","W0023",1,109,"MSU","Mpol","Invaded","Arcata, CA, USA","","","ARC12","F1","MP-ARC12-F1","6/17/16","4/9/16",69,40.87011,-124.11282
"CRG","W0024",1,188,"MSU","Mpol","Native","Seville, Spain","","","CRG08","F1","MP-CRG08-F1","6/6/16","4/9/16",58,37.429805,-6.21776
"CDC","W0025",1,619,"Field","Mpol","Native","Arles, France","c1","","CDCc1-05","F0","MP-CDCc1-05-F0",NA,"4/9/16",NA,43.618907,4.813317
"MMG","W0026",1,930,"Field","Mpol","Native","Montemolina Garden, Italy","c2","","MMGc2-09","F0","MP-MMGc2-09-F0",NA,"4/9/16",NA,42.63074,8.14856
"","W0027",1,468,"USDA","Mpol","","Morocco","","","W65475","","MP-W65475","5/18/16","4/9/16",39,42.643558,11.850325
"DCR","W0028",1,253,"MSU","Mpol","Invaded","Vista, CA, USA","","","DCR08","F1","MP-DCR08-F1","6/1/16","4/9/16",53,33.184978,-117.310682
"RTM","W0029",1,90,"MSU","Mpol","Native","Rio Tia Mayor, Spain","","","RTM12","F1","MP-RTM12-F1","6/2/16","4/9/16",54,NA,NA
"MML","W0030",1,896,"Field","Mpol","Native","Montemolina, Italy","c1","","MMLc1-09","F0","MP-MMLc1-09-F0",NA,"4/9/16",NA,42.828173,12.37152
"MIR","W0031",1,821,"Field","Mpol","Native","Mirabilandia, Italy","c1","","MIRc1-08","F0","MP-MIRc1-08-F0",NA,"4/9/16",NA,44.33056,12.295502
"AZN","W0032",1,216,"MSU","Mpol","Native","Aznalcollar, Seville, Spain","","","AZN08","F1","MP-AZN08-F1","5/31/16","4/9/16",52,37.531929,-6.286561
"","W0033",1,479,"USDA","Mpol","","Granada, Spain","","","PI543037","","MP-PI543037","6/6/16","4/9/16",58,42.643558,11.850325
"LIS","W0034",1,240,"MSU","Mpol","Native","Lisbon, Portugal","","","LIS08","F1","MP-LIS08-F1","6/10/16","4/9/16",62,38.818216,-9.142902
"EMO","W0035",1,144,"MSU","Mpol","Invaded","Temecula, CA, USA","","","EMO08","F1","MP-EMO08-F1","6/8/16","4/9/16",60,33.501351,-117.192456
"HIG","W0036",1,671,"Field","Mpol","Native","San Sebastian, Spain","","","HIG20-03","F0","MP-HIG20-03-F0","7/15/16","4/9/16",97,43.39133,1.792166
"BOL","W0037",1,914,"Field","Mpol","Native","Bolsera 1, Italy","","","BOL09","F0","MP-BOL09-F0",NA,"4/9/16",NA,NA,NA
"","W0038",1,456,"USDA","Mpol","","Spain","","","PI319034","","MP-PI319034","5/17/16","4/9/16",38,42.643558,11.850325
"MUS","W0039",1,603,"Field","Mpol","Native","Frontignan, France","s1","MUS1-06","MUSs1-06","F0","MP-MUSs1-06-F0","7/18/16","4/9/16",100,43.476116,3.762642
"PEA","W0040",1,611,"Field","Mpol","Invaded","Casa Grande, AZ, USA","","PEA15-02","PEA15","F0","MP-PEA15-F0",NA,"4/9/16",NA,32.878033,-111.748964
"FUR","W0041",1,949,"Field","Mpol","Native","Furbara road, Italy","c1","","FURc1-08","F0","MP-FURc1-08-F0","7/5/16","4/9/16",87,NA,NA
"SAN","W0042",1,733,"Field","Mpol","Native","Santona, Spain","","","SAN12-02","F0","MP-SAN12-02-F0","7/25/16","4/9/16",107,43.45713,4.353194
"MIR","W0043",2,829,"Field","Mpol","Native","Mirabilandia, Italy","c1","","MIRc1-16","F0","MP-MIRc1-16-F0","7/29/16","4/9/16",111,44.33056,12.295502
