"Sample","Site","Replicate","Genotype","Range","PODHr0","PODHr4","PODHr24"
"W0076","ARC",1,"ARC29","Invasive",1.80695868896145,1.37919373957031,2.01554590066727
"W0076","ARC",2,"ARC29","Invasive",1.79625385881589,1.37562443179519,2.09499519520896
"W0076","ARC",3,"ARC29","Invasive",1.79175946922805,1.37681561716535,1.88921097747372
"W0077","DEB",1,"DEB30","Native",1.92925697485752,1.36431545440112,2.0409182596835
"W0077","DEB",2,"DEB30","Native",1.92504998505989,1.34992671694902,2.0925975151609
"W0077","DEB",3,"DEB30","Native",1.91317537563918,1.35153572775472,2.10652619871936
"W0079","LDS",1,"LDSc3-11","Native",1.7056721643818,1.38421751717505,2.89037175789616
"W0079","LDS",2,"LDSc3-11","Native",1.74076348419307,1.39249913800677,2.95148214750948
"W0079","LDS",3,"LDSc3-11","Native",1.74254548644664,1.38836690072186,2.62230246836884
"W0080","NAR",1,"NARc3-04","Native",1.3845070505458,1.43334277835228,2.26582289367897
"W0080","NAR",2,"NARc3-04","Native",1.38092281731798,1.41978054414993,2.26704988769794
"W0080","NAR",3,"NARc3-04","Native",1.37732569113713,1.39374164419517,2.1853196748299
"W0082","SAN",1,"SAN28-02","Native",1.37775459957176,1.38367587310896,3.27416114052529
"W0082","SAN",2,"SAN28-02","Native",1.40982485853008,1.37841823744356,3.29778428628873
"W0082","SAN",3,"SAN28-02","Native",1.36567507391715,1.37683554125457,3.0950217662098
"W0083","MUS",1,"MUSs2-04","Native",1.57560229120183,1.39980808028661,1.95586598350095
"W0083","MUS",2,"MUSs2-04","Native",1.57124153107039,1.38032419413339,2.08380942049991
"W0083","MUS",3,"MUSs2-04","Native",1.57876185149219,1.38629436111989,1.92682988447218
"W0084","CDC",1,"CDCc2-06-01","Native",1.82774218710756,1.35997705280252,2.22136758325413
"W0084","CDC",2,"CDCc2-06-01","Native",1.8298190310524,1.36662159552119,2.28350385491862
"W0084","CDC",3,"CDCc2-06-01","Native",1.88759197863423,1.3710268889891,2.37450609028635
