"Sample","Site","Replicate","Genotype","Range","PPOHr0","PPOHr4","PPOHr24"
"W0076","ARC",1,"ARC29","Invasive",0.400045040638825,0.947862527749968,-0.0162078102268533
"W0076","ARC",2,"ARC29","Invasive",0.425091072564913,0.925680472223995,0.0802900181731276
"W0076","ARC",3,"ARC29","Invasive",0.381762995801376,0.929411819836853,0.0532206962049097
"W0077","DEB",1,"DEB30","Native",0.485063074835967,1.18008731933658,0.198554292555774
"W0077","DEB",2,"DEB30","Native",0.43020471428392,1.19711705918138,0.246133069538909
"W0077","DEB",3,"DEB30","Native",0.391885849981784,1.18199389760716,0.206993161201638
"W0079","LDS",1,"LDSc3-11","Native",0.576422906251804,0.737779334580713,0.480143889113506
"W0079","LDS",2,"LDSc3-11","Native",0.619299930608196,0.788080073055513,0.509385738708003
"W0079","LDS",3,"LDSc3-11","Native",0.600883203821965,0.819651868931324,0.505053601968868
"W0080","NAR",1,"NARc3-04","Native",0.456520278908449,0.586309014097606,0.236077300098778
"W0080","NAR",2,"NARc3-04","Native",0.451985123743057,0.390964017417365,0.475903351372923
"W0080","NAR",3,"NARc3-04","Native",0.447429307207196,0.554381419572166,0.526093095896779
"W0082","SAN",1,"SAN28-02","Native",0.430102412493549,0.637218627900721,1.84305276361561
"W0082","SAN",2,"SAN28-02","Native",0.425667815425684,0.542129662564724,1.83468451394509
"W0082","SAN",3,"SAN28-02","Native",0.469152927365423,0.551814968299187,1.82624564529922
"W0083","MUS",1,"MUSs2-04","Native",0.566963759491671,0.785670549457092,0.700899157364263
"W0083","MUS",2,"MUSs2-04","Native",0.51692552830726,0.760551489361761,0.721912346963078
"W0083","MUS",3,"MUSs2-04","Native",0.529390278927247,0.782564956898937,0.679434918695963
"W0084","CDC",1,"CDCc2-06-01","Native",0.94350329539904,0.782140718753568,0.659956360968198
"W0084","CDC",2,"CDCc2-06-01","Native",0.936769263217694,0.836103713644052,0.670557166954839
"W0084","CDC",3,"CDCc2-06-01","Native",0.956836826268506,0.867500567704723,0.687979210401503
"W0085","HIG",1,"HIG12-03","Native",0.433116639438674,0.413136378604816,0.639978512679267
"W0085","HIG",2,"HIG12-03","Native",0.467371663988994,0.679857948441262,0.641683542930351
"W0085","HIG",3,"HIG12-03","Native",0.458548077330478,0.668083211896729,0.656899390167604
"W0113","SAN",1,"SAN31-02","Native",0.836628904037637,0.423227564448004,0.851858871714766
"W0113","SAN",2,"SAN31-02","Native",0.80392158606185,0.448067391014156,0.845009529869192
"W0113","SAN",3,"SAN31-02","Native",0.919713439151658,0.44610275383999,0.836381348645853
"W0115","MUS",1,"MUSs2-09","Native",-0.5949874160877,1.1016243391381,0.650687972788154
"W0115","MUS",2,"MUSs2-09","Native",-0.57088986450864,1.12245842604094,0.661472978464717
"W0115","MUS",3,"MUSs2-09","Native",-0.57088986450864,1.13707856949591,0.654295914164353
"W0116","NAR",1,"NARc3-08","Native",0.594301345923313,0.800620846557469,0.610816912176818
"W0116","NAR",2,"NARc3-08","Native",0.58122926435596,0.758286482730904,0.612566693900606
"W0116","NAR",3,"NARc3-08","Native",0.626252945729915,0.831235482377076,0.610816912176818
"W0117","HIG",1,"HIG16-01","Native",0.467707416985385,0.52890229416617,0.606629752703599
"W0117","HIG",2,"HIG16-01","Native",-0.0762273653878838,0.634454729985798,0.588692052016932
"W0117","HIG",3,"HIG16-01","Native",0.496037923611611,0.564721391971123,0.608110137874033
"W0118","CDC",1,"CDCc2-13","Native",0.240004649280276,0.680741783702458,0.55671975347577
"W0118","CDC",2,"CDCc2-13","Native",0.249513437249303,0.682127785310335,0.630496215598278
"W0118","CDC",3,"CDCc2-13","Native",0.258932659165795,0.680741783702458,0.568253906721057
"W0120","MUS",1,"MUSs2-01","Native",0.720283721994945,0.597039870382602,0.809012670087055
"W0120","MUS",2,"MUSs2-01","Native",0.717129145246432,0.611193617820696,0.799369393815252
"W0120","MUS",3,"MUSs2-01","Native",0.697989805035734,0.59043918635125,0.812844092398615
"W0121","DEB",1,"DEB28-02","Native",0.428912841189737,0.672145791025557,1.06382617258269
"W0121","DEB",2,"DEB28-02","Native",0.42659265453404,0.683319091623683,1.01625208285421
"W0121","DEB",3,"DEB28-02","Native",0.445005142478492,0.667139522747414,1.07701317686465
"W0122","LIS",1,"LIS20","Native",0.754497755221328,0.310956210397994,1.03322952940526
"W0122","LIS",2,"LIS20","Native",0.748675322469897,0.575238886558061,1.02871484905073
"W0122","LIS",3,"LIS20","Native",0.742818790357182,0.419395681644111,1.04887230647571
"W0123","HIG",1,"HIG11-02","Native",0.854334425279927,0.704888998436626,0.554463793025995
"W0123","HIG",2,"HIG11-02","Native",0.792596724674146,0.727966945719172,0.618485651790926
"W0123","HIG",3,"HIG11-02","Native",0.855951240506831,0.721609645223707,0.535693690344004
"W0124","NAR",1,"NARc3-02","Native",0.290882075182452,0.436539984382522,0.398907707562006
"W0124","NAR",2,"NARc3-02","Native",0.290882075182452,0.46740209576518,0.374693449441411
"W0124","NAR",3,"NARc3-02","Native",0.303580658519579,0.484619163808175,0.383235295154374
"W0127","LDS",1,"LDSc3-07","Native",0.2865131652468,1.00699897074511,0.258215333960908
"W0127","LDS",2,"LDSc3-07","Native",0.296984465114095,0.995867130376268,0.277717577192349
"W0127","LDS",3,"LDSc3-07","Native",0.275931055916262,1.01251876396871,0.269096834148442
"W0128","SAN",1,"SAN20-05","Native",0.167222761394611,0.684684506641211,1.15233089567653
"W0128","SAN",2,"SAN20-05","Native",0.144707739026976,0.655946896873855,1.14392748488015
"W0128","SAN",3,"SAN20-05","Native",0.156028614651458,0.674243025920793,1.15233089567653
"W0130","ARC",1,"ARC26","Invasive",0.205942188955664,0.648818593452715,0.39796319745637
"W0130","ARC",2,"ARC26","Invasive",0.221591960622791,0.588990396615327,0.408450184951617
"W0130","ARC",3,"ARC26","Invasive",0.218481538208398,0.645981712117515,0.457878850792204
"W0132","CDC",1,"CDCc2-04","Native",0.17743374435236,0.700367428533433,0.533498960773492
"W0132","CDC",2,"CDCc2-04","Native",0.175204089025091,0.72347956840918,0.543372875332486
"W0132","CDC",3,"CDCc2-04","Native",0.21029540883636,0.737441400790951,0.538996500732687
"W0134","NAR",1,"NARc2-01","Native",0.443492503697404,0.527020309685971,1.04145387482816
"W0134","NAR",2,"NARc2-01","Native",0.487295126355797,0.536829652647597,1.17730455724377
"W0134","NAR",3,"NARc2-01","Native",0.480126636877184,0.532481819711494,1.05681515998965
"W0135","HUE",1,"HUE19","Native",0.956353314026226,0.698424237660789,0.749087196442282
"W0135","HUE",2,"HUE19","Native",0.957754855951513,0.706287974121005,0.755542996785155
"W0135","HUE",3,"HUE19","Native",0.960552060572577,0.683844787897631,0.760677796257194
"W0137","FUS",1,"FUSF5","Native",0.775733771569221,0.420422012719992,0.846579727501765
"W0137","FUS",2,"FUSF5","Native",0.771150111901562,0.499184895737623,0.863674160861062
"W0137","FUS",3,"FUSF5","Native",0.780296517127636,0.515516233123845,0.784337418624543
"W0138","LDS",1,"LDSc3-04","Native",1.15731272285987,0.782961952967275,1.25628409889395
"W0138","LDS",2,"LDSc3-04","Native",1.11482009889496,0.799039469694808,1.2509977429708
"W0138","LDS",3,"LDSc3-04","Native",1.10024494209199,0.902004774626679,1.26328938148236
"W0140","HIG",1,"HIG10-02","Native",0.558564815689447,0.57183418304024,0.520534437892952
"W0140","HIG",2,"HIG10-02","Native",0.526510789399364,0.580174514956459,0.496083342028787
"W0140","HIG",3,"HIG10-02","Native",0.578346824641486,0.576846724863785,0.542828354852165
"W0142","CAM",1,"CAM20","Native",2.33939906611676,0.774519852520488,0.714551089223098
"W0142","CAM",2,"CAM20","Native",2.3150076129926,0.753568240034709,0.760536202464924
"W0142","CAM",3,"CAM20","Native",2.54553127160443,0.780879174428782,0.709834099344962
"W0144","AZN",1,"AZN19","Native",0.830768558435995,0.648474740508353,0.435517453174566
"W0144","AZN",2,"AZN19","Native",0.830768558435995,0.678476990812152,0.507430034764852
"W0144","AZN",3,"AZN19","Native",0.809107061654813,0.90914552446951,0.397524056735352
"W0145","SAN",1,"SAN20-03","Native",0.835080676448612,1.20791240233002,0.947885097292373
"W0145","SAN",2,"SAN20-03","Native",0.744315467134345,1.18939335456278,0.925303492595664
"W0145","SAN",3,"SAN20-03","Native",0.841567185678219,1.19206002280969,0.946288927759551
"W0146","ARC",1,"ARC25-01","Invasive",0.325129960017279,0.987059802762361,0.304097127858826
"W0146","ARC",2,"ARC25-01","Invasive",0.366104034227584,0.977699360002797,0.309225344225745
"W0146","ARC",3,"ARC25-01","Invasive",0.282405015350937,0.966666939199223,0.240415137822871
"W0149","CRG",1,"CRG20","Native",0.605330974553029,0.933810774294319,0.997580063436541
"W0149","CRG",2,"CRG20","Native",0.565917006012152,0.959082877395035,1.02381107558541
"W0149","CRG",3,"CRG20","Native",0.593994820766692,0.926471291806274,0.885181178289504
"W0152","DEB",1,"DEB27","Native",0.646934337404814,1.0371726234346,0.802709383071471
"W0152","DEB",2,"DEB27","Native",0.660357357736954,1.00087831724183,0.687870123459101
"W0152","DEB",3,"DEB27","Native",0.663685147829629,1.00905832195377,0.708813297304344
"W0153","DCR",1,"DCR19","Invasive",0.554920943631215,1.59330853050422,0.789067302438682
"W0153","DCR",2,"DCR19","Invasive",0.689040398607292,1.56653041142282,0.706480711429409
"W0153","DCR",3,"DCR19","Invasive",0.636229817703447,1.54968790802833,0.716365470661952
"W0154","LIS",1,"LIS18","Native",0.30596411728923,2.03485763507181,3.13549421592915
"W0154","LIS",2,"LIS18","Native",0.300514512521665,2.13044409613221,2.89037175789616
"W0154","LIS",3,"LIS18","Native",0.308677823160827,2.12490391575659,2.84053938414829
"W0155","MLR",1,"MLR20","Invasive",0.177615665756542,0.798172069431602,0.836984401258931
"W0155","MLR",2,"MLR20","Invasive",0.175254389570862,0.82793617133806,0.7390391738166
"W0155","MLR",3,"MLR20","Invasive",0.177615665756542,0.778339230198686,0.772764808524636
"W0156","BHI",1,"BHI33-19","Invasive",0.116612760508193,0.83045168796135,0.733038509587248
"W0156","BHI",2,"BHI33-19","Invasive",0.135174778368253,0.821625505333078,0.771399377459694
"W0156","BHI",3,"BHI33-19","Invasive",0.135174778368253,0.766967092795211,0.797926131793122
"W0157","MUS",1,"MUSs1-15","Native",0.4239271709479,0.972032714882391,1.24918514714748
"W0157","MUS",2,"MUSs1-15","Native",0.403392568506192,1.41687298822538,1.26694760348732
"W0157","MUS",3,"MUSs1-15","Native",0.419853845560264,0.965990400426429,1.30494872166594
"W0158","SAN",1,"SAN28-01","Native",0.877940926499291,1.09137112741155,0.493359487362672
"W0158","SAN",2,"SAN28-01","Native",0.862736763538855,1.1270637098925,0.495514660610656
"W0158","SAN",3,"SAN28-01","Native",0.871058586876347,1.1100901765128,0.480329987072338
"W0161","LDS",1,"LDSc3-10","Native",0.29259608725421,0.50321378872636,0.675009832582827
"W0161","LDS",2,"LDSc3-10","Native",0.268408861640206,0.516025351860561,0.681643356078461
