Well,Sample,Time,Weight,Replicate,Hour,PCheck,Plate,fileName,Absorbance,Protein,Range,Genotype,Site
A01,W0419,0,0.0569,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2025,33025.08787,Native,CDCc2-07-01,CDC
A02,W0419,0,0.0569,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.2001,32621.05272,Native,CDCc2-07-01,CDC
A03,W0419,0,0.0569,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.203,33109.26186,Native,CDCc2-07-01,CDC
A04,W0076,0,0.0185,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1856,92823.91351,Invasive,ARC29,ARC
A05,W0076,0,0.0185,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1988,99658.65946,Invasive,ARC29,ARC
A06,W0076,0,0.0185,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1767,88215.63784,Invasive,ARC29,ARC
A07,W0420,0,0.0123,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1689,126607.5691,Native,SAN30-01,SAN
A08,W0420,0,0.0123,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1682,126062.4228,Native,SAN30-01,SAN
A09,W0420,0,0.0123,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1613,120688.8374,Native,SAN30-01,SAN
A10,W0077,0,0.0173,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1661,88465.42775,Native,DEB30,DEB
A11,W0077,0,0.0173,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.161,85641.56069,Native,DEB30,DEB
A12,W0077,0,0.0173,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1609,85586.19075,Native,DEB30,DEB
B01,W0421,0,0.0551,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1849,31044.23049,Native,PI459130,Tur
B02,W0421,0,0.0551,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1742,29184.06171,Native,PI459130,Tur
B03,W0421,0,0.0551,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1706,28558.21053,Native,PI459130,Tur
B04,W0078,0,0.0182,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1559,78722.31319,Invasive,PI404795,Uru
B05,W0078,0,0.0182,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1525,76932.82967,Invasive,PI404795,Uru
B06,W0078,0,0.0182,3,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1524,76880.1978,Invasive,PI404795,Uru
B07,W0422,0,0.0119,1,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1603,123940.6471,Native,MUSs2-06,MUS
B08,W0422,0,0.0119,2,0hr,Plate1.csv,Plate1,Plate1_0hr_17Feb2017,0.1641,126999.4874,Native,MUSs2-06,MUS
