"Sample","Site","Replicate","Genotype","Range","0hr","4hr","24hr"
"W0076","ARC",1,"ARC29","Invasive",11.4384595742636,11.1738415189031,10.8389200792872
"W0076","ARC",2,"ARC29","Invasive",11.5095062206111,11.1789025282636,10.8236964503629
"W0076","ARC",3,"ARC29","Invasive",11.3875395260524,11.1738415189031,10.8364998192278
"W0077","DEB",1,"DEB30","Native",11.390367107781,11.4220245686523,10.637068062896
"W0077","DEB",2,"DEB30","Native",11.3579259663816,11.4641302573431,10.6406273856834
"W0077","DEB",3,"DEB30","Native",11.3572792261019,11.4647547827822,10.6299111842705
"W0079","LDS",1,"LDSc3-11","Native",10.7649790475931,11.0494290164267,10.5504497875332
"W0079","LDS",2,"LDSc3-11","Native",10.7553285638098,11.148596466347,10.557640977526
"W0079","LDS",3,"LDSc3-11","Native",10.7819837645437,11.0588617688058,10.5588344973669
"W0080","NAR",1,"NARc3-04","Native",11.6785035819288,10.8201413414971,11.4506256353451
"W0080","NAR",2,"NARc3-04","Native",11.6621357982142,10.8321575566589,11.4572393534317
"W0080","NAR",3,"NARc3-04","Native",11.6627249982742,10.8458930439043,11.4512286931689
"W0082","SAN",1,"SAN28-02","Native",11.3544612890138,10.296646990506,12.5062246701889
"W0082","SAN",2,"SAN28-02","Native",11.326589575795,10.3027149059073,12.5198243024771
"W0082","SAN",3,"SAN28-02","Native",11.3475658498369,10.314077025962,12.5289918620569
"W0083","MUS",1,"MUSs2-04","Native",10.4299934956089,10.8034253693687,11.0290323905792
"W0083","MUS",2,"MUSs2-04","Native",10.4466228553907,10.8282841158427,11.0284275087212
"W0083","MUS",3,"MUSs2-04","Native",10.4635034244273,10.8455787615311,11.0296369066141
"W0084","CDC",1,"CDCc2-06-01","Native",11.0134153913715,11.0258667448078,10.8747071203209
"W0084","CDC",2,"CDCc2-06-01","Native",11.0161333093485,11.0366071521707,10.8920052150857
"W0084","CDC",3,"CDCc2-06-01","Native",10.9997138792261,11.0439248303172,11.0178731253148
"W0085","HIG",1,"HIG12-03","Native",10.3283711507705,10.7916489793566,10.8374843566465
"W0085","HIG",2,"HIG12-03","Native",10.3371130019999,10.7811894243798,10.8325994943042
"W0085","HIG",3,"HIG12-03","Native",10.3143716739005,10.7699549530974,10.8289201241661
"W0113","SAN",1,"SAN31-02","Native",11.3353797087046,9.9951594363064,11.0321622706496
"W0113","SAN",2,"SAN31-02","Native",11.3182369863811,10.0111414963759,11.0334008789171
"W0113","SAN",3,"SAN31-02","Native",11.3208935318633,10.0177260305526,11.0334008789171
"W0115","MUS",1,"MUSs2-09","Native",11.4897670806745,11.0734905394943,10.5025214176638
"W0115","MUS",2,"MUSs2-09","Native",11.4598703645661,11.0592647365139,10.5073707473418
"W0115","MUS",3,"MUSs2-09","Native",11.4087609950977,11.0895045922566,10.5006968389453
"W0116","NAR",1,"NARc3-08","Native",12.1480759428949,10.905576091989,10.8195265753342
"W0116","NAR",2,"NARc3-08","Native",12.1751728317144,10.9028673767385,10.8226125865784
"W0116","NAR",3,"NARc3-08","Native",12.184428323565,10.9176753252208,10.8176703869546
"W0117","HIG",1,"HIG16-01","Native",12.2095397018385,10.768731419446,10.6517180069048
"W0117","HIG",2,"HIG16-01","Native",12.1606338364665,10.7778835105013,10.6676038119317
"W0117","HIG",3,"HIG16-01","Native",12.1652215985046,10.8518652438956,10.6676038119317
"W0118","CDC",1,"CDCc2-13","Native",10.8824864878504,10.6093787303042,11.0765504864008
"W0118","CDC",2,"CDCc2-13","Native",10.8446261136369,10.5963383194199,11.0705325918528
"W0118","CDC",3,"CDCc2-13","Native",10.8499082846522,10.5904141925891,11.0699288057031
"W0120","MUS",1,"MUSs2-01","Native",10.9277028885817,10.248333637208,11.1373998826386
"W0120","MUS",2,"MUSs2-01","Native",10.9136909008049,10.2517069686428,11.1475661225677
"W0120","MUS",3,"MUSs2-01","Native",10.902908915537,10.254397464315,11.1404006967116
"W0121","DEB",1,"DEB28-02","Native",10.3261973007785,10.5045890782769,11.5390782363755
"W0121","DEB",2,"DEB28-02","Native",10.3575320473636,10.5324439917428,11.5294611350979
"W0121","DEB",3,"DEB28-02","Native",10.3564490434776,10.5764147485885,11.5264367244225
"W0122","LIS",1,"LIS20","Native",10.9573970837201,10.408698848316,11.5281321657848
"W0122","LIS",2,"LIS20","Native",10.9439094135506,10.4332965951975,11.5057911520731
"W0122","LIS",3,"LIS20","Native",10.9439094135506,10.4456513351319,11.517929316796
"W0123","HIG",1,"HIG11-02","Native",11.1109087767717,10.5415527401191,10.9516960286543
"W0123","HIG",2,"HIG11-02","Native",11.1016100260506,10.5428801305943,10.9529032365241
"W0123","HIG",3,"HIG11-02","Native",11.1054494008447,10.5580198100549,10.9535062944793
"W0124","NAR",1,"NARc3-02","Native",11.0763743338974,10.5312708060714,10.2398857478449
"W0124","NAR",2,"NARc3-02","Native",11.0845751564565,10.5683611189664,10.2447527790508
"W0124","NAR",3,"NARc3-02","Native",11.0795364604389,10.5919747582592,10.2447527790508
"W0127","LDS",1,"LDSc3-07","Native",11.5844580309678,11.1894215726522,10.7104302888664
"W0127","LDS",2,"LDSc3-07","Native",11.5405879052049,11.2125521546385,10.703138596258
"W0127","LDS",3,"LDSc3-07","Native",11.4679095734495,11.209280362334,10.7122449345236
"W0128","SAN",1,"SAN20-05","Native",10.554015162706,10.2204233463524,11.5523268166151
"W0128","SAN",2,"SAN20-05","Native",10.5273575167227,10.2379083954158,11.5541547298247
"W0128","SAN",3,"SAN20-05","Native",10.5188791328514,10.2550929639319,11.5584069127984
"W0130","ARC",1,"ARC26","Invasive",11.3208539266058,10.5748828616473,10.4783940396053
"W0130","ARC",2,"ARC26","Invasive",11.3131762268691,10.5847825230742,10.4741547325439
"W0130","ARC",3,"ARC26","Invasive",11.3113611102024,10.6030037035767,10.4771846416741
"W0132","CDC",1,"CDCc2-04","Native",10.804420745996,10.9207511230563,10.3008601043954
"W0132","CDC",2,"CDCc2-04","Native",10.8777258341117,10.9528582798704,10.3056889445122
"W0132","CDC",3,"CDCc2-04","Native",10.85879521257,10.9498154633996,10.2966156561267
"W0134","NAR",1,"NARc2-01","Native",10.6987876214886,10.1859652896475,11.835844681497
"W0134","NAR",2,"NARc2-01","Native",10.6982846578183,10.2012559474601,11.8449289594771
"W0134","NAR",3,"NARc2-01","Native",10.7353219829787,10.211103614244,11.9315023652685
"W0135","HUE",1,"HUE19","Native",11.3389714158175,10.5163739682748,10.6926195918443
