Unique.ID,GBS,GH.Pos,Tube.No,Pod.Produced,Medic.spp,Range,Site.ID,Origin,Community,changed from MSU shipment name,MSU.Genotype,Generation.Received,WSU.Genotype,Planted,Flowered,flowertime,flowertime140,Lat,Long,Lat.Group,growthstage_13days,growthstage_26days,growthstagedifference,leafcount_13days,leafcount_26days,leafdifference,Seedling.Notes 4.22.16,NonPoly,Status
W0003,no,1,141,MSU,Mpol,Native,ALT,"Alter, Portugal",,,ALT08,F1,MP-ALT08-F1,4/9/16,5/31/16,52,52,37.168255,-8.090313,1,4,7,3,0,3,3,,no,1
W0068,no,2,298,MSU,Mpol,Native,ALT,"Alter, Portugal",,,ALT15,F1,MP-ALT15-F1,4/9/16,5/31/16,52,52,37.168255,-8.090313,1,4,7,3,0,3,3,,no,1
W0206,yes,10,30,MSU,Mpol,Native,ALT,"Alter, Portugal",,,ALT02,F1,MP-ALT02-F1,4/9/16,5/31/16,52,52,37.168255,-8.090313,1,4,8,4,0,6,6,,no,1
W0245,no,11,381,MSU,Mpol,Native,ALT,"Alter, Portugal",,,ALT06,F1,MP-ALT06-F1,4/9/16,5/31/16,52,52,37.168255,-8.090313,1,4,7,3,0,3,3,,no,1
W0294,no,12,103,MSU,Mpol,Native,ALT,"Alter, Portugal",,,ALT10,F1,MP-ALT10-F1,4/9/16,6/6/16,58,58,37.168255,-8.090313,1,4,6,2,0,2,2,,no,1
W0338,no,14,360,MSU,Mpol,Native,ALT,"Alter, Portugal",,,ALT09,F1,MP-ALT09-F1,4/9/16,6/2/16,54,54,37.168255,-8.090313,1,4,7,3,0,2,2,,no,1
W0392,no,15,33,MSU,Mpol,Native,ALT,"Alter, Portugal",,,ALT03,F1,MP-ALT03-F1,4/9/16,5/25/16,46,46,37.168255,-8.090313,2,3,7,4,0,3,3,1 with cot damage,no,1
W0445,no,17,313,MSU,Mpol,Native,ALT,"Alter, Portugal",,,ALT04,F1,MP-ALT04-F1,4/9/16,5/31/16,52,52,37.168255,-8.090313,2,4,8,4,0,5,5,,no,1
W0503,no,19,325,MSU,Mpol,Native,ALT,"Alter, Portugal",,,ALT16,F1,MP-ALT16-F1,4/9/16,5/31/16,52,52,37.168255,-8.090313,2,4,7,3,0,4,4,,no,1
W0535,no,21,293,MSU,Mpol,Native,ALT,"Alter, Portugal",,,ALT14,F1,MP-ALT14-F1,4/9/16,5/31/16,52,52,37.168255,-8.090313,2,4,7,3,0,3,3,,no,1
W0578,no,22,46,MSU,Mpol,Native,ALT,"Alter, Portugal",,,ALT11,F1,MP-ALT11-F1,4/9/16,6/6/16,58,58,37.168255,-8.090313,2,4,7,3,0,4,4,,no,1
