Well,Sample,Time,Weight,Replicate,WellType
A01,W0419,Pre,,1,Sample
A02,W0419,Post,,1,Sample
A03,W0420,Pre,,1,Sample
A04,W0420,Post,,1,Sample
A05,W0077,Pre,,1,Sample
A06,W0077,Post,,1,Sample
A07,W0421,Pre,,1,Sample
A08,W0421,Post,,1,Sample
A09,W0079,Pre,,1,Sample
A10,W0079,Post,,1,Sample
A11,W0076,Pre,,1,Sample
A12,W0076,Post,,1,Sample
B01,W0419,Pre,,2,Sample
B02,W0419,Post,,2,Sample
B03,W0420,Pre,,2,Sample
B04,W0420,Post,,2,Sample
B05,W0077,Pre,,2,Sample
B06,W0077,Post,,2,Sample
B07,W0421,Pre,,2,Sample
B08,W0421,Post,,2,Sample
B09,W0079,Pre,,2,Sample
B10,W0079,Post,,2,Sample
B11,W0076,Pre,,2,Sample
B12,W0076,Post,,2,Sample
C01,W0419,Pre,,3,Sample
C02,W0419,Post,,3,Sample
C03,W0420,Pre,,3,Sample
C04,W0420,Post,,3,Sample
C05,W0077,Pre,,3,Sample
C06,W0077,Post,,3,Sample
C07,W0421,Pre,,3,Sample
C08,W0421,Post,,3,Sample
C09,W0079,Pre,,3,Sample
C10,W0079,Post,,3,Sample
C11,W0076,Pre,,3,Sample
C12,W0076,Post,,3,Sample
D01,W0419,Pre,,1,Control
D02,W0419,Post,,1,Control
D03,W0420,Pre,,1,Control
D04,W0420,Post,,1,Control
D05,W0077,Pre,,1,Control
D06,W0077,Post,,1,Control
D07,W0421,Pre,,1,Control
D08,W0421,Post,,1,Control
D09,W0079,Pre,,1,Control
D10,W0079,Post,,1,Control
D11,W0076,Pre,,1,Control
D12,W0076,Post,,1,Control
E01,W0517,Pre,,1,Sample
E02,W0517,Post,,1,Sample
E03,W0603,Pre,,1,Sample
E04,W0603,Post,,1,Sample
E05,W0146,Pre,,1,Sample
E06,W0146,Post,,1,Sample
E07,W0607,Pre,,1,Sample
E08,W0607,Post,,1,Sample
E09,,,,3,
E10,,,,1,
E11,,,,2,
E12,,,,3,
F01,W0517,Pre,,2,Sample
F02,W0517,Post,,2,Sample
F03,W0603,Pre,,2,Sample
F04,W0603,Post,,2,Sample
F05,W0146,Pre,,2,Sample
F06,W0146,Post,,2,Sample
F07,W0607,Pre,,2,Sample
F08,W0607,Post,,2,Sample
F09,,,,3,
F10,,,,1,
F11,,,,2,
F12,,,,3,
G01,W0517,Pre,,3,Sample
G02,W0517,Post,,3,Sample
G03,W0603,Pre,,3,Sample
G04,W0603,Post,,3,Sample
G05,W0146,Pre,,3,Sample
G06,W0146,Post,,3,Sample
G07,W0607,Pre,,3,Sample
G08,W0607,Post,,3,Sample
G09,,,,3,
G10,,,,1,
G11,,,,2,
G12,,,,3,
H01,W0517,Pre,,1,Control
H02,W0517,Post,,1,Control
H03,W0603,Pre,,1,Control
H04,W0603,Post,,1,Control
H05,W0146,Pre,,1,Control
H06,W0146,Post,,1,Control
H07,W0607,Pre,,1,Control
H08,W0607,Post,,1,Control
H09,,,,3,
H10,,,,1,
H11,,,,2,
H12,,,,3,
