Well,Sample,Weight,Replicate,Time
A01,W0606,0.0344,1,4
A02,W0606,0.0344,2,4
A03,W0606,0.0344,3,4
A04,W0148,0.0201,1,4
A05,W0148,0.0201,2,4
A06,W0148,0.0201,3,4
A07,W0149,0.0215,1,4
A08,W0149,0.0215,2,4
A09,W0149,0.0215,3,4
A10,W0607,0.0307,1,4
A11,W0607,0.0307,2,4
A12,W0607,0.0307,3,4
B01,W0608,0.0213,1,4
B02,W0608,0.0213,2,4
B03,W0608,0.0213,3,4
B04,W0152,0.0179,1,4
B05,W0152,0.0179,2,4
B06,W0152,0.0179,3,4
B07,W0153,0.01,1,4
B08,W0153,0.01,2,4
B09,W0153,0.01,3,4
B10,W0609,0.0336,1,4
B11,W0609,0.0336,2,4
B12,W0609,0.0336,3,4
C01,W0154,0.0043,1,4
C02,W0154,0.0043,2,4
C03,W0154,0.0043,3,4
C04,W0610,0.0105,1,4
C05,W0610,0.0105,2,4
C06,W0610,0.0105,3,4
C07,W0155,0.0298,1,4
C08,W0155,0.0298,2,4
C09,W0155,0.0298,3,4
C10,W0156,0.0248,1,4
C11,W0156,0.0248,2,4
C12,W0156,0.0248,3,4
D01,W0611,0.012,1,4
D02,W0611,0.012,2,4
D03,W0611,0.012,3,4
D04,W0157,0.0314,1,4
D05,W0157,0.0314,2,4
D06,W0157,0.0314,3,4
D07,W0613,0.0305,1,4
D08,W0613,0.0305,2,4
D09,W0613,0.0305,3,4
D10,W0158,0.0231,1,4
D11,W0158,0.0231,2,4
D12,W0158,0.0231,3,4
E01,W0160,0.0073,1,4
E02,W0160,0.0073,2,4
E03,W0160,0.0073,3,4
E04,W0747,0.0084,1,4
E05,W0747,0.0084,2,4
E06,W0747,0.0084,3,4
E07,W0161,0.0422,1,4
E08,W0161,0.0422,2,4
E09,W0161,0.0422,3,4
E10,W0162,0.0155,1,4
E11,W0162,0.0155,2,4
E12,W0162,0.0155,3,4
F01,W0748,0.0058,1,4
F02,W0748,0.0058,2,4
F03,W0748,0.0058,3,4
F04,W0163,0.0239,1,4
F05,W0163,0.0239,2,4
F06,W0163,0.0239,3,4
F07,W0749,0.0214,1,4
F08,W0749,0.0214,2,4
F09,W0749,0.0214,3,4
F10,W0165,0.0515,1,4
F11,W0165,0.0515,2,4
F12,W0165,0.0515,3,4
G01,W0750,0.0424,1,4
G02,W0750,0.0424,2,4
G03,W0750,0.0424,3,4
G04,W0166,0.0234,1,4
G05,W0166,0.0234,2,4
G06,W0166,0.0234,3,4
G07,W0751,0.0267,1,4
G08,W0751,0.0267,2,4
G09,W0751,0.0267,3,4
G10,W0167,0.0366,1,4
G11,W0167,0.0366,2,4
G12,W0167,0.0366,3,4
H01,W0752,0.0232,1,4
H02,W0752,0.0232,2,4
H03,W0752,0.0232,3,4
H04,W0168,0.0168,1,4
H05,W0168,0.0168,2,4
H06,W0168,0.0168,3,4
H07,W0753,0.0443,1,4
H08,W0753,0.0443,2,4
H09,W0753,0.0443,3,4
H10,,,,
H11,,,,
H12,,,,
