Well,Sample,Weight,Time
A01,W0419,0.0213,4
A02,W0076,0.0212,4
A03,W0420,0.0015,4
A04,W0077,0.0161,4
A05,W0421,0.022,4
A06,W0078,0.0106,4
A07,WO422,0.01,4
A08,W0079,0.0241,4
A09,W0423,0.0168,4
A10,W0424,0.0367,4
A11,W0081,0.023,4
A12,W0080,0.0301,4
B01,W0425,0.0125,4
B02,W0082,0.0478,4
B03,W0426,0.0306,4
B04,W0083,0.0294,4
B05,WO427,0.018,4
B06,W0084,0.0231,4
B07,W0085,0.0303,4
B08,WO475,0.0144,4
B09,WO476,0.0632,4
B10,W0113,0.0651,4
B11,W0477,0.0256,4
B12,W0114,0.025,4
C01,W0478,0.0324,4
C02,W0115,0.0221,4
C03,WO479,0.0328,4
C04,W0480,0.016,4
C05,W0116,0.026,4
C06,W0117,0.0307,4
C07,W0118,0.0365,4
C08,W0119,0.037,4
C09,W0120,0.0502,4
C10,W0513,0.0396,4
C11,W0121,0.0409,4
C12,W0122,0.0499,4
D01,W0514,0.025,4
D02,W0123,0.0381,4
D03,W0515,0.0257,4
D04,W0124,0.0433,4
D05,W0516,0.0389,4
D06,W0127,0.0198,4
D07,W0128,0.0534,4
D08,W0517,0.0373,4
D09,W0518,0.0167,4
D10,W0130,0.0369,4
D11,W0132,0.0276,4
D12,W0520,0.0381,4
E01,W0134,0.0539,4
E02,W0135,0.0378,4
E03,W0522,0.0373,4
E04,W0137,0.0553,4
E05,W0138,0.0282,4
E06,W0600,0.0261,4
E07,W0140,0.0674,4
E08,W0601,0.0376,4
E09,W0142,0.0289,4
E10,W0603,0.0177,4
E11,W0143,0.0349,4
E12,W0144,0.0309,4
F01,W0604,0.0201,4
F02,W0145,0.0228,4
F03,W0605,0.024,4
F04,W0146,0.024,4
F05,W0606,0.0344,4
F06,W0148,0.0201,4
F07,W0149,0.0215,4
F08,W0607,0.0307,4
F09,W0608,0.0213,4
F10,W0152,0.0179,4
F11,W0153,0.01,4
F12,W0609,0.0336,4
G01,W0154,0.0043,4
G02,W0610,0.0105,4
G03,W0155,0.0298,4
G04,W0156,0.0248,4
G05,W0611,0.012,4
G06,W0157,0.0314,4
G07,W0613,0.0305,4
G08,W0158,0.0231,4
G09,W0160,0.0073,4
G10,W0747,0.0084,4
G11,W0161,0.0422,4
G12,W0162,0.0155,4
H01,W0748,0.0058,4
H02,W0163,0.0239,4
H03,W0749,0.0214,4
H04,W0165,0.0515,4
H05,W0750,0.0424,4
H06,W0166,0.0234,4
H07,W0751,0.0267,4
H08,W0167,0.0366,4
H09,W0752,0.0232,4
H10,W0168,0.0168,4
H11,W0753,0.0443,4
H12,,,
