Well,Sample,Weight,Replicate,Time
A01,W0419,0.0569,1,0
A02,W0419,0.0569,2,0
A03,W0419,0.0569,3,0
A04,W0076,0.0185,1,0
A05,W0076,0.0185,2,0
A06,W0076,0.0185,3,0
A07,W0420,0.0123,1,0
A08,W0420,0.0123,2,0
A09,W0420,0.0123,3,0
A10,W0077,0.0173,1,0
A11,W0077,0.0173,2,0
A12,W0077,0.0173,3,0
B01,W0421,0.0551,1,0
B02,W0421,0.0551,2,0
B03,W0421,0.0551,3,0
B04,W0078,0.0182,1,0
B05,W0078,0.0182,2,0
B06,W0078,0.0182,3,0
B07,WO422,0.0119,1,0
B08,WO422,0.0119,2,0
B09,WO422,0.0119,3,0
B10,W0079,0.0295,1,0
B11,W0079,0.0295,2,0
B12,W0079,0.0295,3,0
C01,W0423,0.0528,1,0
C02,W0423,0.0528,2,0
C03,W0423,0.0528,3,0
C04,W0424,0.0202,1,0
C05,W0424,0.0202,2,0
C06,W0424,0.0202,3,0
C07,W0081,0.0231,1,0
C08,W0081,0.0231,2,0
C09,W0081,0.0231,3,0
C10,W0080,0.014,1,0
C11,W0080,0.014,2,0
C12,W0080,0.014,3,0
D01,W0425,0.0049,1,0
D02,W0425,0.0049,2,0
D03,W0425,0.0049,3,0
D04,W0082,0.0147,1,0
D05,W0082,0.0147,2,0
D06,W0082,0.0147,3,0
D07,W0426,0.0241,1,0
D08,W0426,0.0241,2,0
D09,W0426,0.0241,3,0
D10,W0083,0.0523,1,0
D11,W0083,0.0523,2,0
D12,W0083,0.0523,3,0
E01,WO427,0.0249,1,0
E02,WO427,0.0249,2,0
E03,WO427,0.0249,3,0
E04,W0084,0.0232,1,0
E05,W0084,0.0232,2,0
E06,W0084,0.0232,3,0
E07,W0085,0.0428,1,0
E08,W0085,0.0428,2,0
E09,W0085,0.0428,3,0
E10,WO475,0.0176,1,0
E11,WO475,0.0176,2,0
E12,WO475,0.0176,3,0
F01,WO476,0.0163,1,0
F02,WO476,0.0163,2,0
F03,WO476,0.0163,3,0
F04,W0113,0.0175,1,0
F05,W0113,0.0175,2,0
F06,W0113,0.0175,3,0
F07,W0114,0.0239,1,0
F08,W0114,0.0239,2,0
F09,W0114,0.0239,3,0
F10,W0478,0.0012,1,0
F11,W0478,0.0012,2,0
F12,W0478,0.0012,3,0
G01,W0115,0.0223,1,0
G02,W0115,0.0223,2,0
G03,W0115,0.0223,3,0
G04,WO479,0.015,1,0
G05,WO479,0.015,2,0
G06,WO479,0.015,3,0
G07,W0480,0.0115,1,0
G08,W0480,0.0115,2,0
G09,W0480,0.0115,3,0
G10,W0116,0.0085,1,0
G11,W0116,0.0085,2,0
G12,W0116,0.0085,3,0
H01,W0117,0.0109,1,0
H02,W0117,0.0109,2,0
H03,W0117,0.0109,3,0
H04,W0118,0.0247,1,0
H05,W0118,0.0247,2,0
H06,W0118,0.0247,3,0
H07,W0119,0.0266,1,0
H08,W0119,0.0266,2,0
H09,W0119,0.0266,3,0
H10,W0120,0.0309,1,0
H11,W0120,0.0309,2,0
H12,W0120,0.0309,3,0
