Well,Sample,Weight,Time
A01,W0419,0.0461,24
A02,W0076,0.0311,24
A03,W0420,0.0433,24
A04,W0077,0.0387,24
A05,W0421,0.035,24
A06,W0078,0.0144,24
A07,WO422,0.0278,24
A08,W0079,0.0417,24
A09,W0423,0.055,24
A10,W0424,0.0213,24
A11,W0081,0.0118,24
A12,W0080,0.0169,24
B01,W0425,0.0337,24
B02,W0082,0.0057,24
B03,W0426,0.0278,24
B04,W0083,0.0257,24
B05,WO427,0.0098,24
B06,W0084,0.0291,24
B07,W0085,0.0309,24
B08,WO475,0.0289,24
B09,WO476,0.0334,24
B10,W0113,0.025,24
B11,W0477,0.0342,24
B12,W0114,0.0226,24
C01,W0478,0.0621,24
C02,W0115,0.0433,24
C03,WO479,0.0405,24
C04,W0480,0.0497,24
C05,W0116,0.031,24
C06,W0117,0.0368,24
C07,W0118,0.0247,24
C08,W0119,0.0047,24
C09,W0120,0.0232,24
C10,W0513,0.0147,24
C11,W0121,0.0156,24
C12,W0122,0.0158,24
D01,W0514,0.0158,24
D02,W0123,0.0278,24
D03,W0515,0.0162,24
D04,W0124,0.0561,24
D05,W0516,0.0226,24
D06,W0127,0.0353,24
D07,W0128,0.0151,24
D08,W0517,0.0332,24
D09,W0518,0.0232,24
D10,W0130,0.0446,24
D11,W0132,0.0532,24
D12,W0520,0.0412,24
E01,W0134,0.0114,24
E02,W0135,0.0365,24
E03,W0522,0.03,24
E04,W0137,0.0199,24
E05,W0138,0.0162,24
E06,W0600,0.0069,24
E07,W0140,0.0369,24
E08,W0601,0.0238,24
E09,W0142,0.0208,24
E10,W0603,0.0087,24
E11,W0143,0.035,24
E12,W0144,0.0295,24
F01,W0604,0.0201,24
F02,W0145,0.0243,24
F03,W0605,0.0258,24
F04,W0146,0.0287,24
F05,W0606,0.0407,24
F06,W0148,0.0066,24
F07,W0149,0.0111,24
F08,W0607,0.0178,24
F09,W0608,0.0266,24
F10,W0152,0.0095,24
F11,W0153,0.0149,24
F12,W0609,0.016,24
G01,W0154,0.0008,24
G02,W0610,0.0166,24
G03,W0155,0.0181,24
G04,W0156,0.0086,24
G05,W0611,0.0087,24
G06,W0157,0.008,24
G07,W0613,0.0236,24
G08,W0158,0.0566,24
G09,W0160,0.0211,24
G10,W0747,0.024,24
G11,W0161,0.0306,24
G12,W0162,0.0221,24
H01,W0748,0.0252,24
H02,W0163,0.0333,24
H03,W0749,0.0241,24
H04,W0165,0.0284,24
H05,W0750,0.0296,24
H06,W0166,0.0126,24
H07,W0751,0.0301,24
H08,W0167,0.013,24
H09,W0752,0.011,24
H10,W0168,0.0299,24
H11,W0753,0.0214,24
H12,,,
