Abs_A,1,2,3,4,5,6,7,8,9,10,11,12
A,0.2221,0.2109,0.2152,0.2194,0.2303,0.2164,0.2154,0.2181,0.2122,0.2237,0.2158,0.2234
B,0.2135,0.2342,0.2211,0.219,0.221,0.2158,0.2225,0.2207,0.3452,0.2259,0.2164,0.2128
C,0.2152,0.2159,0.2048,0.2338,0.2261,0.2212,0.2245,0.2229,0.2149,0.2204,0.2217,0.2166
D,0.2188,0.221,0.2124,0.2187,0.2256,0.2243,0.2554,0.2465,0.2461,0.2454,0.2488,0.244
E,0.2553,0.2514,0.2499,0.2493,0.2529,0.2478,0.261,0.2676,0.2568,0.2648,0.2678,0.2651
F,0.2631,0.2648,0.2505,0.2553,0.2599,0.2617,0.2514,0.2421,0.2751,0.2579,0.2502,0.2769
G,0.2539,0.2628,0.2553,0.2583,0.2574,0.2459,0.2611,0.2695,0.2611,0.2627,0.2543,0.2579
H,0.264,0.2618,0.256,0.2869,0.2895,0.295,0.2682,0.2623,0.2665,0.2778,0.2844,0.2554
,,,,,,,,,,,,
Abs_B,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0533,0.0527,0.0528,0.0582,0.0489,0.0576,0.0481,0.0481,0.0472,0.0511,0.0579,0.0507
B,0.0562,0.0541,0.0483,0.0594,0.0557,0.0541,0.0557,0.0497,0.056,0.054,0.0506,0.0536
C,0.0526,0.0471,0.0539,0.0575,0.0567,0.055,0.0552,0.0499,0.0514,0.0542,0.0564,0.0485
D,0.048,0.0477,0.0491,0.0549,0.0574,0.0634,0.0559,0.0706,0.068,0.0579,0.057,0.0583
E,0.0481,0.0475,0.048,0.0477,0.0512,0.0495,0.0502,0.0496,0.0487,0.0487,0.0496,0.0524
F,0.0565,0.0553,0.057,0.0496,0.0493,0.0554,0.0559,0.0581,0.0583,0.0477,0.0476,0.0485
G,0.0476,0.0527,0.0484,0.0586,0.0553,0.0593,0.0577,0.0585,0.0521,0.0493,0.05,0.0563
H,0.0513,0.0484,0.0607,0.0477,0.0498,0.0491,0.0566,0.0562,0.0493,0.0563,0.0496,0.0503
