Well,Sample,Time,Weight,Replicate
A01,W0419,4,0.0569,1
A02,W0419,4,0.0569,2
A03,W0419,4,0.0569,3
A04,W0076,4,0.0185,1
A05,W0076,4,0.0185,2
A06,W0076,4,0.0185,3
A07,W0420,4,0.0123,1
A08,,4,0.0123,2
A09,W0420,4,0.0123,3
A10,W0077,4,0.0173,1
A11,W0077,4,0.0173,2
A12,W0077,4,0.0173,3
B01,W0421,4,0.0551,1
B02,,4,0.0551,2
B03,W0421,4,0.0551,3
B04,W0078,4,0.0182,1
B05,W0078,4,0.0182,2
B06,W0078,4,0.0182,3
B07,WO422,4,0.0119,1
B08,WO422,4,0.0119,2
B09,WO422,4,0.0119,3
B10,W0079,4,0.0295,1
B11,W0079,4,0.0295,2
B12,W0079,4,0.0295,3
C01,W0423,4,0.0528,1
C02,W0423,4,0.0528,2
C03,W0423,4,0.0528,3
C04,W0424,4,0.0202,1
C05,W0424,4,0.0202,2
C06,W0424,4,0.0202,3
C07,W0081,4,0.0231,1
C08,W0081,4,0.0231,2
C09,W0081,4,0.0231,3
C10,W0080,4,0.014,1
C11,W0080,4,0.014,2
C12,W0080,4,0.014,3
D01,W0425,4,0.0049,1
D02,W0425,4,0.0049,2
D03,W0425,4,0.0049,3
D04,W0082,4,0.0147,1
D05,W0082,4,0.0147,2
D06,W0082,4,0.0147,3
D07,W0426,4,0.0241,1
D08,W0426,4,0.0241,2
D09,W0426,4,0.0241,3
D10,W0083,4,0.0523,1
D11,W0083,4,0.0523,2
D12,W0083,4,0.0523,3
E01,WO427,4,0.0249,1
E02,WO427,4,0.0249,2
E03,WO427,4,0.0249,3
E04,W0084,4,0.0232,1
E05,W0084,4,0.0232,2
E06,W0084,4,0.0232,3
E07,W0085,4,0.0428,1
E08,W0085,4,0.0428,2
E09,W0085,4,0.0428,3
E10,WO475,4,0.0176,1
E11,WO475,4,0.0176,2
E12,WO475,4,0.0176,3
F01,WO476,4,0.0163,1
F02,WO476,4,0.0163,2
F03,WO476,4,0.0163,3
F04,W0113,4,0.0175,1
F05,W0113,4,0.0175,2
F06,W0113,4,0.0175,3
F07,W0077,4,0.0173,1
F08,W0077,4,0.0173,2
F09,W0077,4,0.0173,3
F10,W0114,4,0.0239,1
F11,W0114,4,0.0239,2
F12,W0114,4,0.0239,3
G01,W0478,4,0.0012,1
G02,W0478,4,0.0012,2
G03,W0478,4,0.0012,3
G04,W0115,4,0.0223,1
G05,W0115,4,0.0223,2
G06,W0115,4,0.0223,3
G07,WO479,4,0.015,1
G08,WO479,4,0.015,2
G09,WO479,4,0.015,3
G10,W0480,4,0.0115,1
G11,W0480,4,0.0115,2
G12,W0480,4,0.0115,3
H01,W0116,4,0.0085,1
H02,W0116,4,0.0085,2
H03,W0116,4,0.0085,3
H04,W0117,4,0.0109,1
H05,W0117,4,0.0109,2
H06,W0117,4,0.0109,3
H07,W0118,4,0.0247,1
H08,W0118,4,0.0247,2
H09,W0118,4,0.0247,3
H10,W0119,4,0.0266,1
H11,W0119,4,0.0266,2
H12,W0119,4,0.0266,3
