"Well","Sample","Time","Weight","Replicate","Hour","PCheck","Plate","fileName","Absorbance","Protein","Range","Genotype","Site"
"A01","W0419",0,0.0569,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.2025,33025.0878734622,"Native","CDCc2-07-01","CDC"
"A02","W0419",0,0.0569,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.2001,32621.0527240773,"Native","CDCc2-07-01","CDC"
"A03","W0419",0,0.0569,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.203,33109.2618629174,"Native","CDCc2-07-01","CDC"
"A04","W0076",0,0.0185,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1856,92823.9135135135,"Invasive","ARC29","ARC"
"A05","W0076",0,0.0185,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1988,99658.6594594595,"Invasive","ARC29","ARC"
"A06","W0076",0,0.0185,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1767,88215.6378378379,"Invasive","ARC29","ARC"
"A07","W0420",0,0.0123,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1689,126607.569105691,"Native","SAN30-01","SAN"
"A08","W0420",0,0.0123,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1682,126062.422764228,"Native","SAN30-01","SAN"
"A09","W0420",0,0.0123,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1613,120688.837398374,"Native","SAN30-01","SAN"
"A10","W0077",0,0.0173,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1661,88465.4277456647,"Native","DEB30","DEB"
"A11","W0077",0,0.0173,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.161,85641.5606936416,"Native","DEB30","DEB"
"A12","W0077",0,0.0173,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1609,85586.1907514451,"Native","DEB30","DEB"
"B01","W0421",0,0.0551,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1849,31044.2304900182,"Native","PI459130","Tur"
"B02","W0421",0,0.0551,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1742,29184.0617059891,"Native","PI459130","Tur"
"B03","W0421",0,0.0551,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1706,28558.2105263158,"Native","PI459130","Tur"
"B04","W0078",0,0.0182,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1559,78722.3131868132,"Native","PI404795","Uru"
"B05","W0078",0,0.0182,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1525,76932.8296703297,"Native","PI404795","Uru"
"B06","W0078",0,0.0182,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1524,76880.1978021978,"Native","PI404795","Uru"
"B07","W0422",0,0.0119,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1603,123940.647058824,"Native","MUSs2-06","MUS"
"B08","W0422",0,0.0119,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1641,126999.487394958,"Native","MUSs2-06","MUS"
"B09","W0422",0,0.0119,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1569,121203.789915966,"Native","MUSs2-06","MUS"
"B10","W0079",0,0.0295,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1521,47333.7593220339,"Native","LDSc3-11","LDS"
"B11","W0079",0,0.0295,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1507,46879.1627118644,"Native","LDSc3-11","LDS"
"B12","W0079",0,0.0295,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1546,48145.5389830508,"Native","LDSc3-11","LDS"
"C01","W0423",0,0.0528,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1708,29838.5075757576,"Native","HIG13-02","HIG"
"C02","W0423",0,0.0528,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1683,29384.9564393939,"Native","HIG13-02","HIG"
"C03","W0423",0,0.0528,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.165,28786.2689393939,"Native","HIG13-02","HIG"
"C04","W0424",0,0.0202,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1586,72208.3861386139,"Native","LDSc3-13","LDS"
"C05","W0424",0,0.0202,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1569,71402.2326732673,"Native","LDSc3-13","LDS"
"C06","W0424",0,0.0202,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.157,71449.6534653465,"Native","LDSc3-13","LDS"
"C07","W0081",0,0.0231,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1669,66585.0692640693,"Native","W65316","Leb"
"C08","W0081",0,0.0231,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1646,65631.316017316,"Native","W65316","Leb"
"C09","W0081",0,0.0231,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1621,64594.6277056277,"Native","W65316","Leb"
"C10","W0080",0,0.014,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1788,118007.514285714,"Native","NARc3-04","NAR"
"C11","W0080",0,0.014,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.176,116091.714285714,"Native","NARc3-04","NAR"
"C12","W0080",0,0.014,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1761,116160.135714286,"Native","NARc3-04","NAR"
"D01","W0425",0,0.0049,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1366,254667.632653061,"Native","NARc3-05","NAR"
"D02","W0425",0,0.0049,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1368,255058.612244898,"Native","NARc3-05","NAR"
"D03","W0425",0,0.0049,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.136,253494.693877551,"Native","NARc3-05","NAR"
"D04","W0082",0,0.0147,1,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1373,85345.3537414966,"Native","SAN28-02","SAN"
"D05","W0082",0,0.0147,2,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1337,82999.4761904762,"Native","SAN28-02","SAN"
"D06","W0082",0,0.0147,3,"0hr","Plate1.csv","Plate1","Plate1_0hr_17Feb2017",0.1364,84758.8843537415,"Native","SAN28-02","SAN"
