Well,Sample,Time,Weight,Replicate
A01,W0120,4,0.0502,1
A02,W0120,4,0.0502,2
A03,W0120,4,0.0502,3
A04,W0513,4,0.0396,1
A05,W0513,4,0.0396,2
A06,W0513,4,0.0396,3
A07,W0121,4,0.0409,1
A08,W0121,4,0.0409,2
A09,W0121,4,0.0409,3
A10,W0122,4,0.0499,1
A11,W0122,4,0.0499,2
A12,W0122,4,0.0499,3
B01,W0514,4,0.025,1
B02,W0514,4,0.025,2
B03,W0514,4,0.025,3
B04,W0123,4,0.0381,1
B05,W0123,4,0.0381,2
B06,W0123,4,0.0381,3
B07,W0515,4,0.0257,1
B08,W0515,4,0.0257,2
B09,W0515,4,0.0257,3
B10,W0124,4,0.0433,1
B11,W0124,4,0.0433,2
B12,W0124,4,0.0433,3
C01,W0516,4,0.0389,1
C02,W0516,4,0.0389,2
C03,W0516,4,0.0389,3
C04,W0127,4,0.0198,1
C05,W0127,4,0.0198,2
C06,W0127,4,0.0198,3
C07,W0128,4,0.0534,1
C08,W0128,4,0.0534,2
C09,W0128,4,0.0534,3
C10,W0517,4,0.0373,1
C11,W0517,4,0.0373,2
C12,W0517,4,0.0373,3
D01,W0518,4,0.0167,1
D02,W0518,4,0.0167,2
D03,W0518,4,0.0167,3
D04,W0130,4,0.0369,1
D05,W0130,4,0.0369,2
D06,W0130,4,0.0369,3
D07,W0132,4,0.0276,1
D08,W0132,4,0.0276,2
D09,W0132,4,0.0276,3
D10,W0520,4,0.0381,1
D11,W0520,4,0.0381,2
D12,W0520,4,0.0381,3
E01,W0134,4,0.0539,1
E02,W0134,4,0.0539,2
E03,W0134,4,0.0539,3
E04,W0135,4,0.0378,1
E05,W0135,4,0.0378,2
E06,W0135,4,0.0378,3
E07,W0522,4,0.0373,1
E08,W0522,4,0.0373,2
E09,W0522,4,0.0373,3
E10,W0137,4,0.0553,1
E11,W0137,4,0.0553,2
E12,W0137,4,0.0553,3
F01,W0138,4,0.0282,1
F02,W0138,4,0.0282,2
F03,W0138,4,0.0282,3
F04,W0600,4,0.0261,1
F05,W0600,4,0.0261,2
F06,W0600,4,0.0261,3
F07,W0140,4,0.0674,1
F08,W0140,4,0.0674,2
F09,W0140,4,0.0674,3
F10,W0601,4,0.0376,1
F11,W0601,4,0.0376,2
F12,W0601,4,0.0376,3
G01,W0142,4,0.0289,1
G02,W0142,4,0.0289,2
G03,W0142,4,0.0289,3
G04,W0603,4,0.0177,1
G05,W0603,4,0.0177,2
G06,W0603,4,0.0177,3
G07,W0143,4,0.0349,1
G08,W0143,4,0.0349,2
G09,W0143,4,0.0349,3
G10,W0144,4,0.0309,1
G11,W0144,4,0.0309,2
G12,W0144,4,0.0309,3
H01,W0604,4,0.0201,1
H02,W0604,4,0.0201,2
H03,W0604,4,0.0201,3
H04,W0145,4,0.0228,1
H05,W0145,4,0.0228,2
H06,W0145,4,0.0228,3
H07,W0605,4,0.024,1
H08,W0605,4,0.024,2
H09,W0605,4,0.024,3
H10,W0146,4,0.024,1
H11,W0146,4,0.024,2
H12,W0146,4,0.024,3
