Well,Sample,SampleType,Replicate
A01,2000,Standard,1
A02,1500,Standard,1
A03,1000,Standard,1
A04,750,Standard,1
A05,500,Standard,1
A06,250,Standard,1
A07,125,Standard,1
A08,25,Standard,1
A09,0,BLANK,1
A10,,,
A11,,,
A12,,,
B01,2000,Standard,2
B02,1500,Standard,2
B03,1000,Standard,2
B04,750,Standard,2
B05,500,Standard,2
B06,250,Standard,2
B07,125,Standard,2
B08,25,Standard,2
B09,0,BLANK,2
B10,,,
B11,,,
B12,,,
C01,2000,Standard,3
C02,1500,Standard,3
C03,1000,Standard,3
C04,750,Standard,3
C05,500,Standard,3
C06,250,Standard,3
C07,125,Standard,3
C08,25,Standard,3
C09,0,BLANK,3
C10,,,
C11,,,
C12,,,
D01,,,
D02,,,
D03,,,
D04,,,
D05,,,
D06,,,
D07,,,
D08,,,
D09,,,
D10,,,
D11,,,
D12,,,
E01,,,
E02,,,
E03,,,
E04,,,
E05,,,
E06,,,
E07,,,
E08,,,
E09,,,
E10,,,
E11,,,
E12,,,
F01,,,
F02,,,
F03,,,
F04,,,
F05,,,
F06,,,
F07,,,
F08,,,
F09,,,
F10,,,
F11,,,
F12,,,
G01,,,
G02,,,
G03,,,
G04,,,
G05,,,
G06,,,
G07,,,
G08,,,
G09,,,
G10,,,
G11,,,
G12,,,
H01,,,
H02,,,
H03,,,
H04,,,
H05,,,
H06,,,
H07,,,
H08,,,
H09,,,
H10,,,
H11,,,
H12,,,
