Sample,Time,Protein,Site
W0419,0,33025.08787,CDC
W0419,0,32621.05272,CDC
W0419,0,33109.26186,CDC
W0076,0,92823.91351,ARC
W0076,0,99658.65946,ARC
W0076,0,88215.63784,ARC
W0420,0,126607.5691,SAN
W0420,0,126062.4228,SAN
W0420,0,120688.8374,SAN
W0077,0,88465.42775,DEB
W0077,0,85641.56069,DEB
W0077,0,85586.19075,DEB
W0421,0,31044.23049,Tur
W0421,0,29184.06171,Tur
W0421,0,28558.21053,Tur
W0078,0,78722.31319,Uru
W0078,0,76932.82967,Uru
W0078,0,76880.1978,Uru
W0422,0,123940.6471,MUS
W0422,0,126999.4874,MUS
W0422,0,121203.7899,MUS
W0079,0,47333.75932,LDS
W0079,0,46879.16271,LDS
W0079,0,48145.53898,LDS
W0423,0,29838.50758,HIG
W0423,0,29384.95644,HIG
W0423,0,28786.26894,HIG
W0424,0,72208.38614,LDS
W0424,0,71402.23267,LDS
W0424,0,71449.65347,LDS
W0081,0,66585.06926,Leb
W0081,0,65631.31602,Leb
W0081,0,64594.62771,Leb
W0080,0,118007.5143,NAR
W0080,0,116091.7143,NAR
W0080,0,116160.1357,NAR
W0425,0,254667.6327,NAR
W0425,0,255058.6122,NAR
W0425,0,253494.6939,NAR
W0082,0,85345.35374,SAN
W0082,0,82999.47619,SAN
W0082,0,84758.88435,SAN
W0426,0,51222.43983,DEB
W0426,0,51540.41494,DEB
W0426,0,47406.73859,DEB
W0083,0,33860.13002,MUS
W0083,0,34427.91013,MUS
W0083,0,35014.00574,MUS
W0427,0,64349.17269,Fra
W0427,0,62925.78715,Fra
W0427,0,61233.11245,Fra
W0084,0,60682.78879,CDC
W0084,0,60847.94397,CDC
W0084,0,59857.01293,CDC
W0085,0,30588.24766,HIG
W0085,0,30856.81776,HIG
W0085,0,30163.01168,HIG
W0475,0,80698.48864,Fra2
W0475,0,81188.32386,Fra2
W0475,0,82113.56818,Fra2
W0476,0,87193.33129,DEB
W0476,0,84019.92025,DEB
W0476,0,83197.18405,DEB
W0113,0,83732.26857,SAN
W0113,0,82309.10286,SAN
W0113,0,82528.05143,SAN
W0114,0,68003.51464,Fra_cor
W0114,0,61791.19247,Fra_cor
W0114,0,60829.28452,Fra_cor
W0478,0,1574720.333,SAN
W0478,0,1577115.083,SAN
W0478,0,1532413.083,SAN
W0115,0,97710.7713,MUS
W0115,0,94832.77578,MUS
W0115,0,90107.70852,MUS
W0479,0,90790.76667,CDC
W0479,0,90790.76667,CDC
W0479,0,93345.16667,CDC
W0480,0,168899.9043,HIG
W0480,0,160736.9304,HIG
W0480,0,158654.5391,HIG
W0116,0,188730.6118,NAR
W0116,0,193914.5412,NAR
W0116,0,195717.6471,NAR
W0117,0,200694.6147,HIG
W0117,0,191115.6147,HIG
W0117,0,191994.422,HIG
W0118,0,53235.80567,CDC
W0118,0,51257.95547,CDC
W0118,0,51529.4251,CDC
W0119,0,56887.58271,Bol
W0119,0,55555.16541,Bol
W0119,0,53934.65789,Bol
W0120,0,55698.1877,MUS
W0120,0,54923.1877,MUS
W0120,0,54334.1877,MUS
W0419,24,32969.95662,CDC
W0419,24,33198.52278,CDC
W0419,24,33489.42516,CDC
W0076,24,50966.30868,ARC
W0076,24,50196.2926,ARC
W0076,24,50843.10611,ARC
W0420,24,35986.85912,SAN
W0420,24,36584.16397,SAN
W0420,24,36739.02079,SAN
W0077,24,41650.47545,DEB
W0077,24,41798.98708,DEB
W0077,24,41353.4522,DEB
W0421,24,44110.35714,Tur
W0421,24,44247.2,Tur
W0421,24,43864.04,Tur
W0078,24,107545.2778,Uru
W0078,24,108942.2153,Uru
W0078,24,109806.9861,Uru
W0422,24,56843.98201,MUS
W0422,24,56878.43885,MUS
W0422,24,56981.80935,MUS
W0079,24,38194.61391,LDS
W0079,24,38470.26859,LDS
W0079,24,38516.21103,LDS
W0423,24,28470.80364,HIG
W0423,24,28296.64,HIG
W0423,24,27983.14545,HIG
W0424,24,72706.66667,LDS
W0424,24,73561.13146,LDS
W0424,24,73965.87793,LDS
W0081,24,135462.9492,Leb
W0081,24,143174.8559,Leb
W0081,24,133839.3898,Leb
W0080,24,93960.11243,NAR
W0080,24,94583.59763,NAR
W0080,24,94016.7929,NAR
W0425,24,45243.45697,NAR
W0425,24,44589.69733,NAR
W0425,24,45470.85163,NAR
W0082,24,270012.807,SAN
W0082,24,273709.9649,SAN
W0082,24,276230.7544,SAN
W0426,24,55948.10432,DEB
W0426,24,56878.43885,DEB
W0426,24,55948.10432,DEB
W0083,24,61637.91051,MUS
W0083,24,61600.63813,MUS
W0083,24,61675.18288,MUS
W0427,24,155484.3469,Fra
W0427,24,155875.3265,Fra
W0427,24,155973.0714,Fra
W0084,24,52823.27148,CDC
W0084,24,53744.9622,CDC
W0084,24,60953.90034,CDC
W0085,24,50893.1877,HIG
W0085,24,50645.1877,HIG
W0085,24,50459.1877,HIG
W0475,24,54846.09689,Fra2
W0475,24,54713.51557,Fra2
W0475,24,55840.45675,Fra2
W0476,24,46137.38922,DEB
W0476,24,46080.02994,DEB
W0476,24,46051.3503,DEB
W0113,24,61831.132,SAN
W0113,24,61907.764,SAN
W0113,24,61907.764,SAN
W0477,24,45646.33626,NAR
W0477,24,45366.24854,NAR
W0477,24,45702.3538,NAR
W0114,24,70558.90265,Fra_cor
